Strain,ID,Rep,Pa_OD,Fluorescence
A17,9,1,0.606,81354
A17,9,2,0.549,75833
A17,9,3,0.608,71946
SWPA15J = NSWPA15a,24,1,1.151,295861
SWPA15J = NSWPA15a,24,2,1.049,279469
SWPA15J = NSWPA15a,24,3,1.087,272081
CND03,33,1,0.947,90036
CND03,33,2,0.841,82476
CND03,33,3,0.938,84558
5BR2,41,1,0.859,197878
5BR2,41,2,1.059,216664
5BR2,41,3,0.916,198594
Co398373,52,1,1.124,302082
Co398373,52,2,0.92,282923
Co398373,52,3,1.079,295450
CPHL2000,79,1,1.159,147115
CPHL2000,79,2,1.179,146268
CPHL2000,79,3,1.156,152230
Jp238,126,1,0.994,283767
Jp238,126,2,1.045,266444
Jp238,126,3,1.071,295597
Jp1155,130,1,1.078,178745
Jp1155,130,2,1.036,98256
Jp1155,130,3,1.002,136486
W15Dec14,232,1,1.109,198369
W15Dec14,232,2,1.085,200531
W15Dec14,232,3,1.01,187298
Aa249,298,1,0.982,259481
Aa249,298,2,0.938,253391
Aa249,298,3,0.896,227056
PT31M,334,1,1.004,182071
PT31M,334,2,0.994,186801
PT31M,334,3,1.132,218220
JD303,350,1,0.902,266220
JD303,350,2,0.928,266073
JD303,350,3,0.97,272362
PAO1,PAO1,1,0.997,286604
PAO1,PAO1,2,0.961,221837
PAO1,PAO1,3,1.056,251512
∆lasR clean,∆lasR clean,1,0.94,218635
∆lasR clean,∆lasR clean,2,0.889,217743
∆lasR clean,∆lasR clean,3,0.835,193750
∆lasR∆rhlR,∆lasR∆rhlR,1,0.982,95166
∆lasR∆rhlR,∆lasR∆rhlR,2,1.088,95351
∆lasR∆rhlR,∆lasR∆rhlR,3,1.066,88631
∆lasI,∆lasI,1,1,159605
∆lasI,∆lasI,2,0.983,157344
∆lasI,∆lasI,3,0.935,187227
∆lasR insert,∆lasR insert,1,0.913,212219
∆lasR insert,∆lasR insert,2,1.076,178177
∆lasR insert,∆lasR insert,3,1.05,217417
∆rhlR,∆rhlR,1,1.012,140200
∆rhlR,∆rhlR,2,1.036,130324
∆rhlR,∆rhlR,3,0.979,152120