"NSTY01000016.1 Pseudomonas aeruginosa strain CPHL8058 IPC733_16.1, whole genome shotgun sequence"
"RXAU01000003.1 Pseudomonas aeruginosa strain PT6 IPC1385_3.1, whole genome shotgun sequence"
"RWUM01000019.1 Pseudomonas aeruginosa strain 201s070911bsl_PA1 IPC50_19.1, whole genome shotgun sequence"
"MCLX01000018.1 Pseudomonas aeruginosa 39016 IPC1264_18.1, whole genome shotgun sequence"
"MCMA01000001.1 Pseudomonas aeruginosa strain F429 isolate A5803 IPC1272_1.1, whole genome shotgun sequence"
"MCMD01000028.1 Pseudomonas aeruginosa strain 239A isolate 13121-1 IPC1269_28.1, whole genome shotgun sequence"
"MCME01000017.1 Pseudomonas aeruginosa strain E429 isolate 15108-1 IPC1268_17.1, whole genome shotgun sequence"
"MCMI01000020.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0023-30 IPC1260_20.1, whole genome shotgun sequence"
"MCMH01000001.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0023-34 IPC1261_1.1, whole genome shotgun sequence"
"MCMR01000039.1 Pseudomonas aeruginosa strain E42A(B) isolate LMG14084 IPC92_39.1, whole genome shotgun sequence"
"MCMW01000005.1 Pseudomonas aeruginosa strain F69A isolate IST27N IPC85_5.1, whole genome shotgun sequence"
"MCMX01000005.1 Pseudomonas aeruginosa strain F69A isolate IST27 IPC84_5.1, whole genome shotgun sequence"
"NSMP01000001.1 Pseudomonas aeruginosa strain G1-WATER-2A IPC1472_1.1, whole genome shotgun sequence"
"NSMS01000004.1 Pseudomonas aeruginosa strain E1-WATER-2 IPC1469_4.1, whole genome shotgun sequence"
"NSNF01000001.1 Pseudomonas aeruginosa strain PA-W33 IPC1294_1.1, whole genome shotgun sequence"
"NSNL01000003.1 Pseudomonas aeruginosa strain PA-W23 IPC1288_3.1, whole genome shotgun sequence"
"NSNK01000002.1 Pseudomonas aeruginosa strain PA-W24 IPC1289_2.1, whole genome shotgun sequence"
"NSOG01000002.1 Pseudomonas aeruginosa strain JYH18 IPC1229_2.1, whole genome shotgun sequence"
"NSOK01000008.1 Pseudomonas aeruginosa strain JYH10 IPC1221_8.1, whole genome shotgun sequence"
"NSOL01000003.1 Pseudomonas aeruginosa strain JYH8 IPC1219_3.1, whole genome shotgun sequence"
"NSOQ01000019.1 Pseudomonas aeruginosa strain U2504 IPC1182_19.1, whole genome shotgun sequence"
"NSOS01000017.1 Pseudomonas aeruginosa strain JJ692 IPC1177_17.1, whole genome shotgun sequence"
"NSOU01000003.1 Pseudomonas aeruginosa strain CF27 IPC1173_3.1, whole genome shotgun sequence"
"NSOX01000006.1 Pseudomonas aeruginosa strain D9 3362 IPC1164_6.1, whole genome shotgun sequence"
"NSPJ01000020.1 Pseudomonas aeruginosa strain C8(T3532) IPC1145_20.1, whole genome shotgun sequence"
"NSPL01000006.1 Pseudomonas aeruginosa strain B9(T2436) IPC1133_6.1, whole genome shotgun sequence"
"NSPM01000005.1 Pseudomonas aeruginosa strain A3(H638) IPC1125_5.1, whole genome shotgun sequence"
"NSQL01000005.1 Pseudomonas aeruginosa strain G2 IPC1057_5.1, whole genome shotgun sequence"
"NSQQ01000001.1 Pseudomonas aeruginosa strain B2 IPC1040_1.1, whole genome shotgun sequence"
"NSQZ01000002.1 Pseudomonas aeruginosa strain 010-4 IPC1015_2.1, whole genome shotgun sequence"
"NSRD01000006.1 Pseudomonas aeruginosa strain DUN-006 IPC1005_6.1, whole genome shotgun sequence"
"NSRG01000001.1 Pseudomonas aeruginosa strain DUN-002C IPC991_1.1, whole genome shotgun sequence"
"NSRU01000008.1 Pseudomonas aeruginosa strain U421 IPC965_8.1, whole genome shotgun sequence"
"NSRT01000003.1 Pseudomonas aeruginosa strain U435 IPC971_3.1, whole genome shotgun sequence"
"NSSL01000021.1 Pseudomonas aeruginosa strain PMM38 IPC888_21.1, whole genome shotgun sequence"
"NSSO01000001.1 Pseudomonas aeruginosa strain TuD199 IPC885_1.1, whole genome shotgun sequence"
"NSSR01000020.1 Pseudomonas aeruginosa strain PhDW6 IPC880_20.1, whole genome shotgun sequence"
"NSSX01000001.1 Pseudomonas aeruginosa strain Us411 IPC860_1.1, whole genome shotgun sequence"
"NSTC01000018.1 Pseudomonas aeruginosa strain LiA96_2004 IPC797_18.1, whole genome shotgun sequence"
"NSTD01000018.1 Pseudomonas aeruginosa strain LiA91_2004 IPC796_18.1, whole genome shotgun sequence"
"NSTF01000013.1 Pseudomonas aeruginosa strain LiA50_2005 IPC789_13.1, whole genome shotgun sequence"
"NSTL01000023.1 Pseudomonas aeruginosa strain LiA131_2005 IPC775_23.1, whole genome shotgun sequence"
"NSTO01000006.1 Pseudomonas aeruginosa strain Jp224 IPC752_6.1, whole genome shotgun sequence"
"NSTM01000010.1 Pseudomonas aeruginosa strain Jp1140 IPC757_10.1, whole genome shotgun sequence"
"NSTN01000002.1 Pseudomonas aeruginosa strain Jp245 IPC756_2.1, whole genome shotgun sequence"
"NSUF01000007.1 Pseudomonas aeruginosa strain IDEXX_Canine4 IPC723_7.1, whole genome shotgun sequence"
"NSUL01000020.1 Pseudomonas aeruginosa strain CND03 IPC706_20.1, whole genome shotgun sequence"
"NSUQ01000005.1 Pseudomonas aeruginosa strain Mex2 IPC698_5.1, whole genome shotgun sequence"
"NSUT01000002.1 Pseudomonas aeruginosa strain A19 IPC694_2.1, whole genome shotgun sequence"
"NSVK01000024.1 Pseudomonas aeruginosa strain AMT0071-76 IPC573_24.1, whole genome shotgun sequence"
"NSVL01000001.1 Pseudomonas aeruginosa strain AMT0046-109 IPC563_1.1, whole genome shotgun sequence"
"NSVP01000003.1 Pseudomonas aeruginosa strain AMT0020-1 IPC550_3.1, whole genome shotgun sequence"
"NSVO01000005.1 Pseudomonas aeruginosa strain AMT0026-3 IPC555_5.1, whole genome shotgun sequence"
"NSVQ01000021.1 Pseudomonas aeruginosa strain AMT0020-84 IPC549_21.1, whole genome shotgun sequence"
"NSVU01000001.1 Pseudomonas aeruginosa strain AMT0005-1 IPC539_1.1, whole genome shotgun sequence"
"NSWG01000009.1 Pseudomonas aeruginosa strain AUS595 IPC478_9.1, whole genome shotgun sequence"
"NSWI01000007.1 Pseudomonas aeruginosa strain AUS441 IPC476_7.1, whole genome shotgun sequence"
"NSWK01000009.1 Pseudomonas aeruginosa strain AUS439 IPC474_9.1, whole genome shotgun sequence"
"NSWH01000010.1 Pseudomonas aeruginosa strain AUS442 IPC477_10.1, whole genome shotgun sequence"
"NSWL01000007.1 Pseudomonas aeruginosa strain AUS436 IPC472_7.1, whole genome shotgun sequence"
"NSWJ01000007.1 Pseudomonas aeruginosa strain AUS440 IPC475_7.1, whole genome shotgun sequence"
"NSWM01000009.1 Pseudomonas aeruginosa strain AUS434 IPC471_9.1, whole genome shotgun sequence"
"NSWN01000008.1 Pseudomonas aeruginosa strain AUS050 IPC470_8.1, whole genome shotgun sequence"
"NSWR01000003.1 Pseudomonas aeruginosa strain AUS631 IPC460_3.1, whole genome shotgun sequence"
"NSWS01000001.1 Pseudomonas aeruginosa strain AUS263 IPC453_1.1, whole genome shotgun sequence"
"NSXK01000003.1 Pseudomonas aeruginosa strain AUS134 IPC375_3.1, whole genome shotgun sequence"
"NSXM01000003.1 Pseudomonas aeruginosa strain AUS120 IPC365_3.1, whole genome shotgun sequence"
"NSXL01000002.1 Pseudomonas aeruginosa strain AUS124 IPC368_2.1, whole genome shotgun sequence"
"NSXP01000008.1 Pseudomonas aeruginosa strain AUS106 IPC355_8.1, whole genome shotgun sequence"
"NSYA01000002.1 Pseudomonas aeruginosa strain AUS026 IPC334_2.1, whole genome shotgun sequence"
"NSXZ01000002.1 Pseudomonas aeruginosa strain AUS029 IPC336_2.1, whole genome shotgun sequence"
"NSYC01000001.1 Pseudomonas aeruginosa strain AUS283 IPC323_1.1, whole genome shotgun sequence"
"NSYD01000003.1 Pseudomonas aeruginosa strain AUS389 IPC321_3.1, whole genome shotgun sequence"
"NSYE01000003.1 Pseudomonas aeruginosa strain AUS355 IPC312_3.1, whole genome shotgun sequence"
"NSYN01000002.1 Pseudomonas aeruginosa strain AUS321 IPC289_2.1, whole genome shotgun sequence"
"NSYV01000001.1 Pseudomonas aeruginosa strain AUS088 IPC273_1.1, whole genome shotgun sequence"
"NSZH01000007.1 Pseudomonas aeruginosa strain AUS438 IPC228_7.1, whole genome shotgun sequence"
"NSZJ01000002.1 Pseudomonas aeruginosa strain AUS207 IPC226_2.1, whole genome shotgun sequence"
"NSZY01000004.1 Pseudomonas aeruginosa strain 886-1 IPC102_4.1, whole genome shotgun sequence"
"NTAI01000003.1 Pseudomonas aeruginosa strain PA-W47 IPC23_3.1, whole genome shotgun sequence"
"NTAN01000004.1 Pseudomonas aeruginosa strain PA-W27 IPC17_4.1, whole genome shotgun sequence"
"NTAO01000006.1 Pseudomonas aeruginosa strain PA-W26 IPC16_6.1, whole genome shotgun sequence"
"NTAS01000003.1 Pseudomonas aeruginosa strain PA-W19 IPC12_3.1, whole genome shotgun sequence"
"NTBB01000005.1 Pseudomonas aeruginosa strain PA-W7 IPC3_5.1, whole genome shotgun sequence"
"NSPQ01000016.1 Pseudomonas aeruginosa strain B1(P2356) IPC1107_16.1, whole genome shotgun sequence"
"NSPI01000021.1 Pseudomonas aeruginosa strain C9(P1814) IPC1147_21.1, whole genome shotgun sequence"
"RWZL01000022.1 Pseudomonas aeruginosa strain SMC5451 IPC1620_22.1, whole genome shotgun sequence"
"RWZP01000001.1 Pseudomonas aeruginosa strain SMC1587 IPC1616_1.1, whole genome shotgun sequence"
"RWZS01000004.1 Pseudomonas aeruginosa strain Zw75_2 IPC1438_4.1, whole genome shotgun sequence"
"RXAH01000003.1 Pseudomonas aeruginosa strain HCF336 IPC1414_3.1, whole genome shotgun sequence"
"RXAX01000001.1 Pseudomonas aeruginosa strain Zw31 IPC1381_1.1, whole genome shotgun sequence"
"RXBO01000005.1 Pseudomonas aeruginosa strain JYH29 IPC1240_5.1, whole genome shotgun sequence"
"RXCJ01000004.1 Pseudomonas aeruginosa strain E2758 IPC1126_4.1, whole genome shotgun sequence"
"RXCX01000002.1 Pseudomonas aeruginosa strain Jp1206 IPC761_2.1, whole genome shotgun sequence"
"RXCZ01000026.1 Pseudomonas aeruginosa strain Jp1170 IPC759_26.1, whole genome shotgun sequence"
"RXDA01000001.1 Pseudomonas aeruginosa strain Jp1155 IPC758_1.1, whole genome shotgun sequence"
"RXCY01000002.1 Pseudomonas aeruginosa strain Jp1200 IPC760_2.1, whole genome shotgun sequence"
"RXDI01000001.1 Pseudomonas aeruginosa strain AMT0046-107 IPC561_1.1, whole genome shotgun sequence"
"RXDG01000008.1 Pseudomonas aeruginosa strain AMT0047-125 IPC564_8.1, whole genome shotgun sequence"
"RXDH01000001.1 Pseudomonas aeruginosa strain AMT0046-108 IPC562_1.1, whole genome shotgun sequence"
"RXDJ01000006.1 Pseudomonas aeruginosa strain AMT0026-2 IPC554_6.1, whole genome shotgun sequence"
"RXDK01000006.1 Pseudomonas aeruginosa strain AMT0026-1 IPC553_6.1, whole genome shotgun sequence"
"RXDL01000023.1 Pseudomonas aeruginosa strain AMT0020-83 IPC548_23.1, whole genome shotgun sequence"
"RXEC01000004.1 Pseudomonas aeruginosa strain AUS501 IPC444_4.1, whole genome shotgun sequence"
"RXEF01000009.1 Pseudomonas aeruginosa strain AUS178 IPC415_9.1, whole genome shotgun sequence"
"RXEL01000001.1 Pseudomonas aeruginosa strain AUS157 IPC396_1.1, whole genome shotgun sequence"
"RXEN01000012.1 Pseudomonas aeruginosa strain AUS155 IPC394_12.1, whole genome shotgun sequence"
"RXEH01000001.1 Pseudomonas aeruginosa strain AUS176 IPC413_1.1, whole genome shotgun sequence"
"RXEI01000003.1 Pseudomonas aeruginosa strain AUS175 IPC412_3.1, whole genome shotgun sequence"
"RXEO01000009.1 Pseudomonas aeruginosa strain AUS153 IPC392_9.1, whole genome shotgun sequence"
"RXEP01000001.1 Pseudomonas aeruginosa strain AUS141 IPC382_1.1, whole genome shotgun sequence"
"RXER01000006.1 Pseudomonas aeruginosa strain AUS139 IPC380_6.1, whole genome shotgun sequence"
"RXEW01000003.1 Pseudomonas aeruginosa strain AUS110 IPC357_3.1, whole genome shotgun sequence"
"RXEZ01000002.1 Pseudomonas aeruginosa strain AUS527 IPC324_2.1, whole genome shotgun sequence"
"RXFH01000009.1 Pseudomonas aeruginosa strain AUS525 IPC246_9.1, whole genome shotgun sequence"
"RWKY01000002.1 Pseudomonas aeruginosa strain 22.1 IPC1605_2.1, whole genome shotgun sequence"
"RWKX01000001.1 Pseudomonas aeruginosa strain 22.2 IPC1606_1.1, whole genome shotgun sequence"
"RWKZ01000002.1 Pseudomonas aeruginosa strain 21 IPC1604_2.1, whole genome shotgun sequence"
"RWLB01000003.1 Pseudomonas aeruginosa strain 19 IPC1602_3.1, whole genome shotgun sequence"
"RWLE01000005.1 Pseudomonas aeruginosa strain 16 IPC1599_5.1, whole genome shotgun sequence"
"RWLI01000007.1 Pseudomonas aeruginosa strain 13 IPC1595_7.1, whole genome shotgun sequence"
"RWLM01000009.1 Pseudomonas aeruginosa strain 9 IPC1591_9.1, whole genome shotgun sequence"
"RWLS01000010.1 Pseudomonas aeruginosa strain 3 IPC1585_10.1, whole genome shotgun sequence"
"RWLV01000011.1 Pseudomonas aeruginosa strain 3052425557 IPC1523_11.1, whole genome shotgun sequence"
"RWLX01000009.1 Pseudomonas aeruginosa strain 5014375233 IPC1521_9.1, whole genome shotgun sequence"
"RWMH01000012.1 Pseudomonas aeruginosa strain 4104355340-13 IPC1511_12.1, whole genome shotgun sequence"
"RWMK01000006.1 Pseudomonas aeruginosa strain 5054408352 IPC1508_6.1, whole genome shotgun sequence"
"RWMI01000016.1 Pseudomonas aeruginosa strain 4104355340-15 IPC1510_16.1, whole genome shotgun sequence"
"RWMJ01000015.1 Pseudomonas aeruginosa strain 110238627 IPC1509_15.1, whole genome shotgun sequence"
"RWMY01000017.1 Pseudomonas aeruginosa strain 3052425557 IPC1492_17.1, whole genome shotgun sequence"
"RWMV01000003.1 Pseudomonas aeruginosa strain 4044301968 IPC1496_3.1, whole genome shotgun sequence"
"RWMX01000002.1 Pseudomonas aeruginosa strain 4064321111 IPC1494_2.1, whole genome shotgun sequence"
"RWNA01000008.1 Pseudomonas aeruginosa strain 5054408350-22 IPC1490_8.1, whole genome shotgun sequence"
"RWNC01000006.1 Pseudomonas aeruginosa strain 5054408350-18 IPC1488_6.1, whole genome shotgun sequence"
"RWNB01000003.1 Pseudomonas aeruginosa strain 5054408350-20 IPC1489_3.1, whole genome shotgun sequence"
"RWND01000007.1 Pseudomonas aeruginosa strain 4064320487 IPC1487_7.1, whole genome shotgun sequence"
"RWOA01000003.1 Pseudomonas aeruginosa strain 6088 IPC1335_3.1, whole genome shotgun sequence"
"RWOJ01000008.1 Pseudomonas aeruginosa strain 6000.2 IPC1326_8.1, whole genome shotgun sequence"
"RWOI01000008.1 Pseudomonas aeruginosa strain 6000.3 IPC1327_8.1, whole genome shotgun sequence"
"RWOK01000009.1 Pseudomonas aeruginosa strain 6000.1 IPC1325_9.1, whole genome shotgun sequence"
"RWOM01000009.1 Pseudomonas aeruginosa strain 5999.2 IPC1323_9.1, whole genome shotgun sequence"
"RWOL01000008.1 Pseudomonas aeruginosa strain 5999.3 IPC1324_8.1, whole genome shotgun sequence"
"RWON01000003.1 Pseudomonas aeruginosa strain 5999.1 IPC1322_3.1, whole genome shotgun sequence"
"RWOR01000003.1 Pseudomonas aeruginosa strain 5995 IPC1318_3.1, whole genome shotgun sequence"
"RWPR01000005.1 Pseudomonas aeruginosa strain PA-CL521b IPC616_5.1, whole genome shotgun sequence"
