"NSSG01000028.1 Pseudomonas aeruginosa strain S1983 IPC908_28.1, whole genome shotgun sequence"
"NSSI01000008.1 Pseudomonas aeruginosa strain S2820 IPC905_8.1, whole genome shotgun sequence"
"NSSK01000010.1 Pseudomonas aeruginosa strain S2239_15 IPC902_10.1, whole genome shotgun sequence"
"NSSN01000001.1 Pseudomonas aeruginosa strain Pae110 IPC886_1.1, whole genome shotgun sequence"
"NSTU01000011.1 Pseudomonas aeruginosa strain CPHL10701 IPC738_11.1, whole genome shotgun sequence"
"NSYF01000017.1 Pseudomonas aeruginosa strain AUS238 IPC309_17.1, whole genome shotgun sequence"
"RWNV01000011.1 Pseudomonas aeruginosa strain 6092.3 IPC1340_11.1, whole genome shotgun sequence"
"RWNW01000001.1 Pseudomonas aeruginosa strain 6092.2 IPC1339_1.1, whole genome shotgun sequence"
"RWUN01000017.1 Pseudomonas aeruginosa strain 197S020911BSL_PA4 IPC49_17.1, whole genome shotgun sequence"
"RWUP01000012.1 Pseudomonas aeruginosa strain 197S020911BSL_PA2 IPC47_12.1, whole genome shotgun sequence"
"RWUQ01000015.1 Pseudomonas aeruginosa strain 197S020911BSL_PA1 IPC46_15.1, whole genome shotgun sequence"
"RWUV01000013.1 Pseudomonas aeruginosa strain 175S070312EX2DAY21_PA1 IPC41_13.1, whole genome shotgun sequence"
"RWVA01000016.1 Pseudomonas aeruginosa strain 136S260811BSL_PA2 IPC35_16.1, whole genome shotgun sequence"
"RWUZ01000016.1 Pseudomonas aeruginosa strain 136S260811BSL_PA3 IPC36_16.1, whole genome shotgun sequence"
"RWVB01000014.1 Pseudomonas aeruginosa strain 136S260811BSL_PA1 IPC34_14.1, whole genome shotgun sequence"
"RWUU01000024.1 Pseudomonas aeruginosa strain 175S070312EX2DAY21_PA2 IPC42_24.1, whole genome shotgun sequence"
"MCMN01000018.1 Pseudomonas aeruginosa strain 2D9A isolate AUS23 IPC1103_18.1, whole genome shotgun sequence"
"MCLZ01000011.1 Pseudomonas aeruginosa strain 3C52 isolate TBCF10839 IPC1273_11.1, whole genome shotgun sequence"
"MCMC01000006.1 Pseudomonas aeruginosa strain EA0A isolate 39177 IPC1270_6.1, whole genome shotgun sequence"
"MCMM01000012.1 Pseudomonas aeruginosa strain 4012(0) isolate C3719 IPC1256_12.1, whole genome shotgun sequence"
"MCMQ01000010.1 Pseudomonas aeruginosa strain FA0A isolate Pr335 IPC93_10.1, whole genome shotgun sequence"
"MCMT01000010.1 Pseudomonas aeruginosa strain 6822 isolate NH57388A IPC88_10.1, whole genome shotgun sequence"
"MCMV01000012.1 Pseudomonas aeruginosa strain 3C52(K) isolate 968333S IPC86_12.1, whole genome shotgun sequence"
"MCMY01000010.1 Pseudomonas aeruginosa strain 55AA isolate PAK IPC83_10.1, whole genome shotgun sequence"
"MCMZ01000010.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0060-3 IPC82_10.1, whole genome shotgun sequence"
"MCNA01000010.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0060-2 IPC81_10.1, whole genome shotgun sequence"
"MCNB01000009.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0060-1 IPC80_9.1, whole genome shotgun sequence"
"NSMR01000009.1 Pseudomonas aeruginosa strain E2-DN-2 IPC1470_9.1, whole genome shotgun sequence"
"NSMX01000013.1 Pseudomonas aeruginosa strain PA-W45 IPC1302_13.1, whole genome shotgun sequence"
"NSNC01000022.1 Pseudomonas aeruginosa strain PA-W38 IPC1297_22.1, whole genome shotgun sequence"
"NSNJ01000013.1 Pseudomonas aeruginosa strain PA-W28 IPC1290_13.1, whole genome shotgun sequence"
"NSOC01000009.1 Pseudomonas aeruginosa strain JYH28 IPC1239_9.1, whole genome shotgun sequence"
"NSOM01000018.1 Pseudomonas aeruginosa strain JYH6 IPC1217_18.1, whole genome shotgun sequence"
"NSOO01000021.1 Pseudomonas aeruginosa strain HB159 IPC1190_21.1, whole genome shotgun sequence"
"NSON01000001.1 Pseudomonas aeruginosa strain HB392 IPC1191_1.1, whole genome shotgun sequence"
"NSOY01000012.1 Pseudomonas aeruginosa strain HM324 IPC1163_12.1, whole genome shotgun sequence"
"NSOZ01000007.1 Pseudomonas aeruginosa strain HM308 IPC1162_7.1, whole genome shotgun sequence"
"NSPC01000014.1 Pseudomonas aeruginosa strain HM301 IPC1159_14.1, whole genome shotgun sequence"
"NSPA01000002.1 Pseudomonas aeruginosa strain HM307 IPC1161_2.1, whole genome shotgun sequence"
"NSPD01000014.1 Pseudomonas aeruginosa strain HM300 IPC1158_14.1, whole genome shotgun sequence"
"NSPG01000009.1 Pseudomonas aeruginosa strain HM293 IPC1155_9.1, whole genome shotgun sequence"
"NSPB01000009.1 Pseudomonas aeruginosa strain HM306 IPC1160_9.1, whole genome shotgun sequence"
"NSPF01000012.1 Pseudomonas aeruginosa strain HM294 IPC1156_12.1, whole genome shotgun sequence"
"NSPE01000012.1 Pseudomonas aeruginosa strain HM299 IPC1157_12.1, whole genome shotgun sequence"
"NSPH01000010.1 Pseudomonas aeruginosa strain E9(4068) IPC1152_10.1, whole genome shotgun sequence"
"NSQK01000019.1 Pseudomonas aeruginosa strain H3 IPC1060_19.1, whole genome shotgun sequence"
"NSQM01000007.1 Pseudomonas aeruginosa strain F2 IPC1053_7.1, whole genome shotgun sequence"
"NSQS01000017.1 Pseudomonas aeruginosa strain DUN-001A IPC1035_17.1, whole genome shotgun sequence"
"NSQR01000009.1 Pseudomonas aeruginosa strain A3 IPC1038_9.1, whole genome shotgun sequence"
"NSQV01000018.1 Pseudomonas aeruginosa strain DUN-018 IPC1031_18.1, whole genome shotgun sequence"
"NSRL01000017.1 Pseudomonas aeruginosa strain DUN-001-3B IPC984_17.1, whole genome shotgun sequence"
"NSRH01000017.1 Pseudomonas aeruginosa strain 001-6 IPC988_17.1, whole genome shotgun sequence"
"NSRI01000019.1 Pseudomonas aeruginosa strain 001-5B IPC987_19.1, whole genome shotgun sequence"
"NSRK01000016.1 Pseudomonas aeruginosa strain DUN-001-4 IPC985_16.1, whole genome shotgun sequence"
"NSRJ01000018.1 Pseudomonas aeruginosa strain 001-5A IPC986_18.1, whole genome shotgun sequence"
"NSRN01000015.1 Pseudomonas aeruginosa strain DUN-001-2B IPC982_15.1, whole genome shotgun sequence"
"NSRO01000019.1 Pseudomonas aeruginosa strain DUN-001-2A IPC981_19.1, whole genome shotgun sequence"
"NSRM01000014.1 Pseudomonas aeruginosa strain DUN-001-3A IPC983_14.1, whole genome shotgun sequence"
"NSRP01000018.1 Pseudomonas aeruginosa strain DUN-001C IPC980_18.1, whole genome shotgun sequence"
"NSRQ01000017.1 Pseudomonas aeruginosa strain DUN-001B IPC979_17.1, whole genome shotgun sequence"
"NSSF01000019.1 Pseudomonas aeruginosa strain MSB3405 IPC914_19.1, whole genome shotgun sequence"
"NSSJ01000020.1 Pseudomonas aeruginosa strain S2239_16 IPC903_20.1, whole genome shotgun sequence"
"NSSH01000020.1 Pseudomonas aeruginosa strain MSB2949 IPC907_20.1, whole genome shotgun sequence"
"NSSS01000008.1 Pseudomonas aeruginosa strain Lw1047 IPC879_8.1, whole genome shotgun sequence"
"NSTW01000015.1 Pseudomonas aeruginosa strain CPHL10299 IPC736_15.1, whole genome shotgun sequence"
"NSTY01000027.1 Pseudomonas aeruginosa strain CPHL8058 IPC733_27.1, whole genome shotgun sequence"
"NSUB01000011.1 Pseudomonas aeruginosa strain CPHL2000 IPC729_11.1, whole genome shotgun sequence"
"NSUH01000011.1 Pseudomonas aeruginosa strain Co380791 IPC718_11.1, whole genome shotgun sequence"
"NSUO01000011.1 Pseudomonas aeruginosa strain C5311 IPC700_11.1, whole genome shotgun sequence"
"NSUK01000006.1 Pseudomonas aeruginosa strain ESP06B IPC710_6.1, whole genome shotgun sequence"
"NSUS01000011.1 Pseudomonas aeruginosa strain A22 IPC695_11.1, whole genome shotgun sequence"
"NSUX01000016.1 Pseudomonas aeruginosa strain A11 IPC690_16.1, whole genome shotgun sequence"
"NSUW01000018.1 Pseudomonas aeruginosa strain A13 IPC691_18.1, whole genome shotgun sequence"
"NSVA01000021.1 Pseudomonas aeruginosa strain So098 IPC677_21.1, whole genome shotgun sequence"
"NSVB01000004.1 Pseudomonas aeruginosa strain PN586(35)w IPC669_4.1, whole genome shotgun sequence"
"NSVE01000014.1 Pseudomonas aeruginosa strain HPA16 IPC651_14.1, whole genome shotgun sequence"
"NSVD01000006.1 Pseudomonas aeruginosa strain Co398373 IPC664_6.1, whole genome shotgun sequence"
"NSVF01000008.1 Pseudomonas aeruginosa strain HPA12 IPC648_8.1, whole genome shotgun sequence"
"NSVH01000015.1 Pseudomonas aeruginosa strain HPA6 IPC642_15.1, whole genome shotgun sequence"
"NSVG01000015.1 Pseudomonas aeruginosa strain HPA8 IPC644_15.1, whole genome shotgun sequence"
"NSVV01000018.1 Pseudomonas aeruginosa strain AUS719 IPC534_18.1, whole genome shotgun sequence"
"NSVW01000017.1 Pseudomonas aeruginosa strain AUS720 IPC510_17.1, whole genome shotgun sequence"
"NSWO01000013.1 Pseudomonas aeruginosa strain AUS537 IPC468_13.1, whole genome shotgun sequence"
"NSWT01000020.1 Pseudomonas aeruginosa strain AUS353 IPC452_20.1, whole genome shotgun sequence"
"NSWY01000001.1 Pseudomonas aeruginosa strain AUS489 IPC438_1.1, whole genome shotgun sequence"
"NSXP01000009.1 Pseudomonas aeruginosa strain AUS106 IPC355_9.1, whole genome shotgun sequence"
"NSYV01000002.1 Pseudomonas aeruginosa strain AUS088 IPC273_2.1, whole genome shotgun sequence"
"NSZM01000013.1 Pseudomonas aeruginosa strain AUS518 IPC212_13.1, whole genome shotgun sequence"
"NSZR01000012.1 Pseudomonas aeruginosa strain 39145 IPC109_12.1, whole genome shotgun sequence"
"NSZS01000013.1 Pseudomonas aeruginosa strain 934436V IPC108_13.1, whole genome shotgun sequence"
"NSZT01000013.1 Pseudomonas aeruginosa strain AT40 IPC107_13.1, whole genome shotgun sequence"
"NSZW01000014.1 Pseudomonas aeruginosa strain AT7 IPC104_14.1, whole genome shotgun sequence"
"NSZU01000010.1 Pseudomonas aeruginosa strain AT31 IPC106_10.1, whole genome shotgun sequence"
"NSZV01000011.1 Pseudomonas aeruginosa strain AT19 IPC105_11.1, whole genome shotgun sequence"
"NTAF01000012.1 Pseudomonas aeruginosa strain Mi162 IPC90_12.1, whole genome shotgun sequence"
"NTAJ01000005.1 Pseudomonas aeruginosa strain PA-W41 IPC22_5.1, whole genome shotgun sequence"
"NTAK01000005.1 Pseudomonas aeruginosa strain PA-W35 IPC20_5.1, whole genome shotgun sequence"
"NTAH01000026.1 Pseudomonas aeruginosa strain PA-W48 IPC24_26.1, whole genome shotgun sequence"
"NTAN01000017.1 Pseudomonas aeruginosa strain PA-W27 IPC17_17.1, whole genome shotgun sequence"
"NTAP01000014.1 Pseudomonas aeruginosa strain PA-W25 IPC15_14.1, whole genome shotgun sequence"
"NTAQ01000011.1 Pseudomonas aeruginosa strain PA-W22 IPC14_11.1, whole genome shotgun sequence"
"NTAO01000016.1 Pseudomonas aeruginosa strain PA-W26 IPC16_16.1, whole genome shotgun sequence"
"NTAV01000013.1 Pseudomonas aeruginosa strain PA-W15 IPC9_13.1, whole genome shotgun sequence"
"NTAZ01000011.1 Pseudomonas aeruginosa strain PA-W9 IPC5_11.1, whole genome shotgun sequence"
"NTBA01000007.1 Pseudomonas aeruginosa strain PA-W8 IPC4_7.1, whole genome shotgun sequence"
"RWZM01000001.1 Pseudomonas aeruginosa strain SMC5450 IPC1619_1.1, whole genome shotgun sequence"
"RWZW01000019.1 Pseudomonas aeruginosa strain NN5 IPC1433_19.1, whole genome shotgun sequence"
"RWZQ01000010.1 Pseudomonas aeruginosa strain SMC1585 IPC1615_10.1, whole genome shotgun sequence"
"RXAD01000012.1 Pseudomonas aeruginosa strain HCF591 IPC1421_12.1, whole genome shotgun sequence"
"RXAX01000012.1 Pseudomonas aeruginosa strain Zw31 IPC1381_12.1, whole genome shotgun sequence"
"RXBD01000012.1 Pseudomonas aeruginosa strain MCF199 IPC1370_12.1, whole genome shotgun sequence"
"RXBM01000009.1 Pseudomonas aeruginosa strain MCF430 IPC1360_9.1, whole genome shotgun sequence"
"RXCB01000012.1 Pseudomonas aeruginosa strain 62 IPC1175_12.1, whole genome shotgun sequence"
"RXBY01000018.1 Pseudomonas aeruginosa strain JYH7 IPC1218_18.1, whole genome shotgun sequence"
"RXCP01000020.1 Pseudomonas aeruginosa strain 3141 IPC1105_20.1, whole genome shotgun sequence"
"RXDC01000012.1 Pseudomonas aeruginosa strain Jp238 IPC754_12.1, whole genome shotgun sequence"
"RXDS01000017.1 Pseudomonas aeruginosa strain AUS727 IPC517_17.1, whole genome shotgun sequence"
"RXDR01000017.1 Pseudomonas aeruginosa strain AUS717 IPC532_17.1, whole genome shotgun sequence"
"RXEB01000002.1 Pseudomonas aeruginosa strain AUS505 IPC445_2.1, whole genome shotgun sequence"
"RXEG01000002.1 Pseudomonas aeruginosa strain AUS177 IPC414_2.1, whole genome shotgun sequence"
"RXEF01000012.1 Pseudomonas aeruginosa strain AUS178 IPC415_12.1, whole genome shotgun sequence"
"RXEN01000009.1 Pseudomonas aeruginosa strain AUS155 IPC394_9.1, whole genome shotgun sequence"
"RXEO01000001.1 Pseudomonas aeruginosa strain AUS153 IPC392_1.1, whole genome shotgun sequence"
"RWKZ01000013.1 Pseudomonas aeruginosa strain 21 IPC1604_13.1, whole genome shotgun sequence"
"RWLE01000013.1 Pseudomonas aeruginosa strain 16 IPC1599_13.1, whole genome shotgun sequence"
"RWMT01000012.1 Pseudomonas aeruginosa strain 9092533235 IPC1499_12.1, whole genome shotgun sequence"
"RWNE01000012.1 Pseudomonas aeruginosa strain 5034388498-21 IPC1486_12.1, whole genome shotgun sequence"
"RWNF01000001.1 Pseudomonas aeruginosa strain 5034388498-20 IPC1485_1.1, whole genome shotgun sequence"
"RWNJ01000021.1 Pseudomonas aeruginosa strain 41004355322 IPC1478_21.1, whole genome shotgun sequence"
"RWNK01000014.1 Pseudomonas aeruginosa strain 5054407658-17 IPC1477_14.1, whole genome shotgun sequence"
"RWNL01000018.1 Pseudomonas aeruginosa strain 5054407658-16 IPC1476_18.1, whole genome shotgun sequence"
"RWNS01000002.1 Pseudomonas aeruginosa strain 6096 IPC1343_2.1, whole genome shotgun sequence"
"RWOB01000002.1 Pseudomonas aeruginosa strain 6087 IPC1334_2.1, whole genome shotgun sequence"
"RWQM01000010.1 Pseudomonas aeruginosa strain 78RV IPC589_10.1, whole genome shotgun sequence"
"RWQP01000006.1 Pseudomonas aeruginosa strain 34JS IPC582_6.1, whole genome shotgun sequence"
"RWQO01000009.1 Pseudomonas aeruginosa strain 57SJ IPC584_9.1, whole genome shotgun sequence"
"RWQS01000010.1 Pseudomonas aeruginosa strain 19SV IPC578_10.1, whole genome shotgun sequence"
"RWQQ01000010.1 Pseudomonas aeruginosa strain 32SB IPC580_10.1, whole genome shotgun sequence"
"RWQN01000009.1 Pseudomonas aeruginosa strain 57RV IPC586_9.1, whole genome shotgun sequence"
"RWQR01000017.1 Pseudomonas aeruginosa strain 32SP IPC579_17.1, whole genome shotgun sequence"
"RWQT01000011.1 Pseudomonas aeruginosa strain 19R IPC577_11.1, whole genome shotgun sequence"
"RWQV01000010.1 Pseudomonas aeruginosa strain 18G IPC574_10.1, whole genome shotgun sequence"
"RWQU01000010.1 Pseudomonas aeruginosa strain 19SJV IPC576_10.1, whole genome shotgun sequence"
"RWRT01000013.1 Pseudomonas aeruginosa strain PAC118A IPC161_13.1, whole genome shotgun sequence"
"RWSK01000013.1 Pseudomonas aeruginosa strain PAC56B IPC143_13.1, whole genome shotgun sequence"
"RWSL01000017.1 Pseudomonas aeruginosa strain PAC56A IPC142_17.1, whole genome shotgun sequence"
"RWSM01000017.1 Pseudomonas aeruginosa strain PAC17A IPC141_17.1, whole genome shotgun sequence"
"RWSN01000012.1 Pseudomonas aeruginosa strain PAC15B IPC140_12.1, whole genome shotgun sequence"
"RWSO01000012.1 Pseudomonas aeruginosa strain PAC15A IPC139_12.1, whole genome shotgun sequence"
"RWSW01000007.1 Pseudomonas aeruginosa strain PAC79B IPC129_7.1, whole genome shotgun sequence"
"RWSX01000001.1 Pseudomonas aeruginosa strain PAC79A IPC128_1.1, whole genome shotgun sequence"
"RWSV01000001.1 Pseudomonas aeruginosa strain PAC106A IPC130_1.1, whole genome shotgun sequence"
"RWSY01000007.1 Pseudomonas aeruginosa strain PAC11A IPC127_7.1, whole genome shotgun sequence"
"RWTD01000010.1 Pseudomonas aeruginosa strain PAC93C IPC122_10.1, whole genome shotgun sequence"
"RWTE01000009.1 Pseudomonas aeruginosa strain PAC93B IPC121_9.1, whole genome shotgun sequence"
"RWTF01000012.1 Pseudomonas aeruginosa strain PAC93A IPC120_12.1, whole genome shotgun sequence"
"RWTG01000004.1 Pseudomonas aeruginosa strain PAC74A IPC119_4.1, whole genome shotgun sequence"
"RWTI01000012.1 Pseudomonas aeruginosa strain PAC6B IPC117_12.1, whole genome shotgun sequence"
"RWTJ01000014.1 Pseudomonas aeruginosa strain PAC6A IPC116_14.1, whole genome shotgun sequence"
"RWTH01000009.1 Pseudomonas aeruginosa strain PAC39A IPC118_9.1, whole genome shotgun sequence"
"RWUI01000001.1 Pseudomonas aeruginosa strain 266S141211BSL_PA1 IPC56_1.1, whole genome shotgun sequence"
"RWVD01000009.1 Pseudomonas aeruginosa strain 66S100212BSL _PA1 IPC32_9.1, whole genome shotgun sequence"
"RWVK01000013.1 Pseudomonas aeruginosa strain 19SJO IPC575_12.1, whole genome shotgun sequence"
"MVGV01000008.1 Pseudomonas aeruginosa strain ATCC BAA-2108 IPC1576_8.1, whole genome shotgun sequence"
"MVGZ01000008.1 Pseudomonas aeruginosa strain ATCC BAA-2112 IPC1580_8.1, whole genome shotgun sequence"
"MCMB01000015.1 Pseudomonas aeruginosa strain 1BAE isolate KK1 IPC1271_15.1, whole genome shotgun sequence"
"MCMH01000020.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0023-34 IPC1261_20.1, whole genome shotgun sequence"
"MCMI01000021.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0023-30 IPC1260_21.1, whole genome shotgun sequence"
"MCMK01000011.1 Pseudomonas aeruginosa strain EC22 isolate AUS52 IPC1258_11.1, whole genome shotgun sequence"
"MCMW01000013.1 Pseudomonas aeruginosa strain F69A isolate IST27N IPC85_13.1, whole genome shotgun sequence"
"MCMX01000017.1 Pseudomonas aeruginosa strain F69A isolate IST27 IPC84_17.1, whole genome shotgun sequence"
"NSMQ01000021.1 Pseudomonas aeruginosa strain F1-DN-2 IPC1471_21.1, whole genome shotgun sequence"
"NSMU01000011.1 Pseudomonas aeruginosa strain AL363(Israel 14) IPC1352_11.1, whole genome shotgun sequence"
"NSMZ01000015.1 Pseudomonas aeruginosa strain PA-W43 IPC1300_15.1, whole genome shotgun sequence"
"NSOD01000012.1 Pseudomonas aeruginosa strain JYH26 IPC1237_12.1, whole genome shotgun sequence"
"NSOJ01000010.1 Pseudomonas aeruginosa strain JYH12 IPC1223_10.1, whole genome shotgun sequence"
"NSOI01000024.1 Pseudomonas aeruginosa strain JYH14 IPC1225_24.1, whole genome shotgun sequence"
"NSOT01000020.1 Pseudomonas aeruginosa strain CF127 IPC1174_20.1, whole genome shotgun sequence"
"NSOV01000023.1 Pseudomonas aeruginosa strain CF5 IPC1171_23.1, whole genome shotgun sequence"
"NSPK01000012.1 Pseudomonas aeruginosa strain E1(T4189) IPC1138_12.1, whole genome shotgun sequence"
"NSPR01000015.1 Pseudomonas aeruginosa strain LiP14 IPC1086_15.1, whole genome shotgun sequence"
"NSPS01000016.1 Pseudomonas aeruginosa strain LiP13 IPC1085_16.1, whole genome shotgun sequence"
"NSPT01000019.1 Pseudomonas aeruginosa strain LiP12 IPC1084_19.1, whole genome shotgun sequence"
"NSPV01000015.1 Pseudomonas aeruginosa strain LiP10b IPC1082_15.1, whole genome shotgun sequence"
"NSPW01000016.1 Pseudomonas aeruginosa strain LiP10a IPC1081_16.1, whole genome shotgun sequence"
"NSPX01000015.1 Pseudomonas aeruginosa strain LiP9 IPC1080_15.1, whole genome shotgun sequence"
"NSQB01000016.1 Pseudomonas aeruginosa strain LiP5 IPC1076_16.1, whole genome shotgun sequence"
"NSPZ01000021.1 Pseudomonas aeruginosa strain LiP7 IPC1078_21.1, whole genome shotgun sequence"
"NSPY01000016.1 Pseudomonas aeruginosa strain LiP8 IPC1079_16.1, whole genome shotgun sequence"
"NSQE01000019.1 Pseudomonas aeruginosa strain LiP2c IPC1073_19.1, whole genome shotgun sequence"
"NSQA01000001.1 Pseudomonas aeruginosa strain LiP6 IPC1077_1.1, whole genome shotgun sequence"
"NSQF01000016.1 Pseudomonas aeruginosa strain LiP2b IPC1072_16.1, whole genome shotgun sequence"
"NSQD01000020.1 Pseudomonas aeruginosa strain LiP3 IPC1074_20.1, whole genome shotgun sequence"
"NSQG01000017.1 Pseudomonas aeruginosa strain LiP2a IPC1071_17.1, whole genome shotgun sequence"
"NSQJ01000017.1 Pseudomonas aeruginosa strain LiP1a IPC1067_17.1, whole genome shotgun sequence"
"NSQI01000014.1 Pseudomonas aeruginosa strain LiP1c IPC1069_14.1, whole genome shotgun sequence"
"NSQN01000013.1 Pseudomonas aeruginosa strain E2_H133420224 IPC1048_13.1, whole genome shotgun sequence"
"NSQW01000012.1 Pseudomonas aeruginosa strain DUN-015A IPC1027_12.1, whole genome shotgun sequence"
"NSRS01000012.1 Pseudomonas aeruginosa strain U451 IPC976_12.1, whole genome shotgun sequence"
"NSRW01000014.1 Pseudomonas aeruginosa strain U397A IPC954_14.1, whole genome shotgun sequence"
"NSRX01000013.1 Pseudomonas aeruginosa strain U372 IPC948_13.1, whole genome shotgun sequence"
"NSRY01000013.1 Pseudomonas aeruginosa strain U350 IPC946_13.1, whole genome shotgun sequence"
"NSSE01000014.1 Pseudomonas aeruginosa strain U0272B IPC922_14.1, whole genome shotgun sequence"
"NSSR01000018.1 Pseudomonas aeruginosa strain PhDW6 IPC880_18.1, whole genome shotgun sequence"
"NSSX01000003.1 Pseudomonas aeruginosa strain Us411 IPC860_3.1, whole genome shotgun sequence"
"NSSZ01000015.1 Pseudomonas aeruginosa strain Mi159 IPC856_15.1, whole genome shotgun sequence"
"NSTF01000026.1 Pseudomonas aeruginosa strain LiA50_2005 IPC789_26.1, whole genome shotgun sequence"
"NSTJ01000016.1 Pseudomonas aeruginosa strain LiA145_2005 IPC780_16.1, whole genome shotgun sequence"
"NSTN01000022.1 Pseudomonas aeruginosa strain Jp245 IPC756_22.1, whole genome shotgun sequence"
"NSUC01000017.1 Pseudomonas aeruginosa strain CPHL1999 IPC728_17.1, whole genome shotgun sequence"
