"MVGX01000007.1 Pseudomonas aeruginosa strain ATCC BAA-2110 IPC1578_7.1, whole genome shotgun sequence"
"NSND01000012.1 Pseudomonas aeruginosa strain PA-W37 IPC1296_12.1, whole genome shotgun sequence"
"NSNK01000015.1 Pseudomonas aeruginosa strain PA-W24 IPC1289_15.1, whole genome shotgun sequence"
"NSNP01000009.1 Pseudomonas aeruginosa strain PA-W10 IPC1284_9.1, whole genome shotgun sequence"
"NSNV01000004.1 Pseudomonas aeruginosa strain AA43 IPC1275_4.1, whole genome shotgun sequence"
"NSOF01000017.1 Pseudomonas aeruginosa strain JYH22 IPC1233_17.1, whole genome shotgun sequence"
"NSOG01000034.1 Pseudomonas aeruginosa strain JYH18 IPC1229_34.1, whole genome shotgun sequence"
"NSOR01000009.1 Pseudomonas aeruginosa strain S54485 IPC1180_9.1, whole genome shotgun sequence"
"NSOX01000007.1 Pseudomonas aeruginosa strain D9 3362 IPC1164_7.1, whole genome shotgun sequence"
"NSPL01000019.1 Pseudomonas aeruginosa strain B9(T2436) IPC1133_19.1, whole genome shotgun sequence"
"NSPM01000019.1 Pseudomonas aeruginosa strain A3(H638) IPC1125_19.1, whole genome shotgun sequence"
"NSPN01000005.1 Pseudomonas aeruginosa strain B3(T2101) IPC1124_5.1, whole genome shotgun sequence"
"NSPP01000002.1 Pseudomonas aeruginosa strain C7(T3583) IPC1112_2.1, whole genome shotgun sequence"
"NSPO01000004.1 Pseudomonas aeruginosa strain A1(A2448) IPC1122_4.1, whole genome shotgun sequence"
"NSQH01000009.1 Pseudomonas aeruginosa strain LiP1d IPC1070_9.1, whole genome shotgun sequence"
"NSQL01000003.1 Pseudomonas aeruginosa strain G2 IPC1057_3.1, whole genome shotgun sequence"
"NSQQ01000036.1 Pseudomonas aeruginosa strain B2 IPC1040_36.1, whole genome shotgun sequence"
"NSQZ01000001.1 Pseudomonas aeruginosa strain 010-4 IPC1015_1.1, whole genome shotgun sequence"
"NSRD01000008.1 Pseudomonas aeruginosa strain DUN-006 IPC1005_8.1, whole genome shotgun sequence"
"NSRF01000013.1 Pseudomonas aeruginosa strain DUN-003B IPC995_13.1, whole genome shotgun sequence"
"NSSL01000052.1 Pseudomonas aeruginosa strain PMM38 IPC888_52.1, whole genome shotgun sequence"
"NSTC01000008.1 Pseudomonas aeruginosa strain LiA96_2004 IPC797_8.1, whole genome shotgun sequence"
"NSTD01000007.1 Pseudomonas aeruginosa strain LiA91_2004 IPC796_7.1, whole genome shotgun sequence"
"NSTJ01000003.1 Pseudomonas aeruginosa strain LiA145_2005 IPC780_3.1, whole genome shotgun sequence"
"NSTH01000004.1 Pseudomonas aeruginosa strain LiA179_2006 IPC785_4.1, whole genome shotgun sequence"
"NSTL01000008.1 Pseudomonas aeruginosa strain LiA131_2005 IPC775_8.1, whole genome shotgun sequence"
"NSTP01000008.1 Pseudomonas aeruginosa strain Jp97 IPC749_8.1, whole genome shotgun sequence"
"NSTT01000005.1 Pseudomonas aeruginosa strain Tu61 IPC740_5.1, whole genome shotgun sequence"
"NSTV01000014.1 Pseudomonas aeruginosa strain CPHL10662 IPC737_14.1, whole genome shotgun sequence"
"NSTW01000024.1 Pseudomonas aeruginosa strain CPHL10299 IPC736_24.1, whole genome shotgun sequence"
"NSTX01000002.1 Pseudomonas aeruginosa strain CPHL8203 IPC734_2.1, whole genome shotgun sequence"
"NSTZ01000005.1 Pseudomonas aeruginosa strain CPHL6749 IPC731_5.1, whole genome shotgun sequence"
"NSUF01000010.1 Pseudomonas aeruginosa strain IDEXX_Canine4 IPC723_10.1, whole genome shotgun sequence"
"NSUO01000002.1 Pseudomonas aeruginosa strain C5311 IPC700_2.1, whole genome shotgun sequence"
"NSUQ01000008.1 Pseudomonas aeruginosa strain Mex2 IPC698_8.1, whole genome shotgun sequence"
"NSVI01000008.1 Pseudomonas aeruginosa strain PUPa3 IPC595_8.1, whole genome shotgun sequence"
"NSVK01000029.1 Pseudomonas aeruginosa strain AMT0071-76 IPC573_29.1, whole genome shotgun sequence"
"NSVP01000005.1 Pseudomonas aeruginosa strain AMT0020-1 IPC550_5.1, whole genome shotgun sequence"
"NSVO01000009.1 Pseudomonas aeruginosa strain AMT0026-3 IPC555_9.1, whole genome shotgun sequence"
"NSWQ01000006.1 Pseudomonas aeruginosa strain AUS674 IPC462_6.1, whole genome shotgun sequence"
"NSXJ01000012.1 Pseudomonas aeruginosa strain AUS138 IPC379_12.1, whole genome shotgun sequence"
"NSXQ01000001.1 Pseudomonas aeruginosa strain AUS105 IPC354_1.1, whole genome shotgun sequence"
"NSXX01000019.1 Pseudomonas aeruginosa strain AUS054 IPC340_19.1, whole genome shotgun sequence"
"NSYC01000008.1 Pseudomonas aeruginosa strain AUS283 IPC323_8.1, whole genome shotgun sequence"
"NSYZ01000005.1 Pseudomonas aeruginosa strain AUS275 IPC260_5.1, whole genome shotgun sequence"
"NSZO01000005.1 Pseudomonas aeruginosa strain AUS185 IPC203_5.1, whole genome shotgun sequence"
"NSZX01000007.1 Pseudomonas aeruginosa strain 152504sp2 IPC103_7.1, whole genome shotgun sequence"
"NTAI01000002.1 Pseudomonas aeruginosa strain PA-W47 IPC23_2.1, whole genome shotgun sequence"
"NTBC01000005.1 Pseudomonas aeruginosa strain PA-W6 IPC2_5.1, whole genome shotgun sequence"
"NTBB01000012.1 Pseudomonas aeruginosa strain PA-W7 IPC3_12.1, whole genome shotgun sequence"
"RXAB01000006.1 Pseudomonas aeruginosa strain BJ4 IPC1423_6.1, whole genome shotgun sequence"
"RXAF01000001.1 Pseudomonas aeruginosa strain HCF410 IPC1417_1.1, whole genome shotgun sequence"
"RXAM01000005.1 Pseudomonas aeruginosa strain HCF55 IPC1407_5.1, whole genome shotgun sequence"
"RXAN01000007.1 Pseudomonas aeruginosa strain HCF483 IPC1405_7.1, whole genome shotgun sequence"
"RXAL01000007.1 Pseudomonas aeruginosa strain HCF86 IPC1408_7.1, whole genome shotgun sequence"
"RXAO01000004.1 Pseudomonas aeruginosa strain HCF19 IPC1401_4.1, whole genome shotgun sequence"
"RXAS01000010.1 Pseudomonas aeruginosa strain Zw9 IPC1389_10.1, whole genome shotgun sequence"
"RXAW01000001.1 Pseudomonas aeruginosa strain Zw49 IPC1383_1.1, whole genome shotgun sequence"
"RXBA01000005.1 Pseudomonas aeruginosa strain SS1 IPC1376_5.1, whole genome shotgun sequence"
"RXBI01000006.1 Pseudomonas aeruginosa strain MCF134 IPC1364_6.1, whole genome shotgun sequence"
"RXBQ01000018.1 Pseudomonas aeruginosa strain JYH23 IPC1234_18.1, whole genome shotgun sequence"
"RXBW01000009.1 Pseudomonas aeruginosa strain JYH11 IPC1222_9.1, whole genome shotgun sequence"
"RXBO01000001.1 Pseudomonas aeruginosa strain JYH29 IPC1240_1.1, whole genome shotgun sequence"
"RXBP01000003.1 Pseudomonas aeruginosa strain JYH25 IPC1236_3.1, whole genome shotgun sequence"
"RXCE01000007.1 Pseudomonas aeruginosa strain T3677 IPC1136_7.1, whole genome shotgun sequence"
"RXDD01000007.1 Pseudomonas aeruginosa strain Jp100 IPC750_7.1, whole genome shotgun sequence"
"RXDJ01000008.1 Pseudomonas aeruginosa strain AMT0026-2 IPC554_8.1, whole genome shotgun sequence"
"RXDK01000001.1 Pseudomonas aeruginosa strain AMT0026-1 IPC553_1.1, whole genome shotgun sequence"
"RXDX01000006.1 Pseudomonas aeruginosa strain AUS526 IPC450_6.1, whole genome shotgun sequence"
"RXDW01000007.1 Pseudomonas aeruginosa strain AUS449 IPC451_7.1, whole genome shotgun sequence"
"RXDY01000006.1 Pseudomonas aeruginosa strain AUS512 IPC449_6.1, whole genome shotgun sequence"
"RXED01000017.1 Pseudomonas aeruginosa strain AUS500 IPC443_17.1, whole genome shotgun sequence"
"RXEF01000017.1 Pseudomonas aeruginosa strain AUS178 IPC415_17.1, whole genome shotgun sequence"
"RXES01000004.1 Pseudomonas aeruginosa strain AUS136 IPC377_4.1, whole genome shotgun sequence"
"RXEU01000006.1 Pseudomonas aeruginosa strain AUS125 IPC369_6.1, whole genome shotgun sequence"
"RXEZ01000002.1 Pseudomonas aeruginosa strain AUS527 IPC324_2.1, whole genome shotgun sequence"
"RXFJ01000005.1 Pseudomonas aeruginosa strain AUS214 IPC236_5.1, whole genome shotgun sequence"
"RWLA01000004.1 Pseudomonas aeruginosa strain 20 IPC1603_4.1, whole genome shotgun sequence"
"RWMA01000177.1 Pseudomonas aeruginosa strain 5054408345 IPC1518_177.1, whole genome shotgun sequence"
"RWML01000009.1 Pseudomonas aeruginosa strain 4114358565 IPC1507_9.1, whole genome shotgun sequence"
"RWMM01000058.1 Pseudomonas aeruginosa strain 5024382749-14 IPC1506_58.1, whole genome shotgun sequence"
"RWMN01000013.1 Pseudomonas aeruginosa strain 5024382749-13 IPC1505_13.1, whole genome shotgun sequence"
"RWMQ01000003.1 Pseudomonas aeruginosa strain 1042828174-20 IPC1502_3.1, whole genome shotgun sequence"
"RWMX01000007.1 Pseudomonas aeruginosa strain 4064321111 IPC1494_7.1, whole genome shotgun sequence"
"RWNM01000005.1 Pseudomonas aeruginosa strain 4124363505 IPC1474_5.1, whole genome shotgun sequence"
"RWNU01000005.1 Pseudomonas aeruginosa strain 6093 IPC1341_5.1, whole genome shotgun sequence"
"RWNZ01000004.1 Pseudomonas aeruginosa strain 6089 IPC1336_4.1, whole genome shotgun sequence"
"RWOA01000008.1 Pseudomonas aeruginosa strain 6088 IPC1335_8.1, whole genome shotgun sequence"
"RWOH01000005.1 Pseudomonas aeruginosa strain 6001 IPC1328_5.1, whole genome shotgun sequence"
"RWOR01000008.1 Pseudomonas aeruginosa strain 5995 IPC1318_8.1, whole genome shotgun sequence"
"RWQA01000002.1 Pseudomonas aeruginosa strain PA-CL513 IPC607_2.1, whole genome shotgun sequence"
"RWQX01000011.1 Pseudomonas aeruginosa strain PAC95B IPC183_11.1, whole genome shotgun sequence"
"RWQY01000005.1 Pseudomonas aeruginosa strain PAC95A IPC182_5.1, whole genome shotgun sequence"
"RWRJ01000004.1 Pseudomonas aeruginosa strain PAC98D IPC171_4.1, whole genome shotgun sequence"
"RWRK01000005.1 Pseudomonas aeruginosa strain PAC98C IPC170_5.1, whole genome shotgun sequence"
"RWRL01000004.1 Pseudomonas aeruginosa strain PAC98B IPC169_4.1, whole genome shotgun sequence"
"RWRN01000005.1 Pseudomonas aeruginosa strain PAC80A IPC167_5.1, whole genome shotgun sequence"
"RWRO01000004.1 Pseudomonas aeruginosa strain PAC70B IPC166_4.1, whole genome shotgun sequence"
"RWRR01000004.1 Pseudomonas aeruginosa strain PAC31B IPC163_4.1, whole genome shotgun sequence"
"RWRP01000005.1 Pseudomonas aeruginosa strain PAC70A IPC165_5.1, whole genome shotgun sequence"
"RWRQ01000006.1 Pseudomonas aeruginosa strain PAC42A IPC164_6.1, whole genome shotgun sequence"
"RWSF01000005.1 Pseudomonas aeruginosa strain PAC78A IPC148_5.1, whole genome shotgun sequence"
"RWSG01000005.1 Pseudomonas aeruginosa strain PAC33B IPC147_5.1, whole genome shotgun sequence"
"RWSE01000011.1 Pseudomonas aeruginosa strain PAC78B IPC149_11.1, whole genome shotgun sequence"
"RWSH01000009.1 Pseudomonas aeruginosa strain PAC33A IPC146_9.1, whole genome shotgun sequence"
"RWSJ01000004.1 Pseudomonas aeruginosa strain PAC18A IPC144_4.1, whole genome shotgun sequence"
"RWSI01000011.1 Pseudomonas aeruginosa strain PAC18B IPC145_11.1, whole genome shotgun sequence"
"RWTO01000005.1 Pseudomonas aeruginosa strain PAC54A IPC111_5.1, whole genome shotgun sequence"
"RWUG01000003.1 Pseudomonas aeruginosa strain 274S010611BSL_PA1 IPC58_3.1, whole genome shotgun sequence"
"RWVE01000014.1 Pseudomonas aeruginosa strain 44s031011BSL_PA2 IPC31_14.1, whole genome shotgun sequence"
"RWVF01000011.1 Pseudomonas aeruginosa strain 44s031011BSL_PA1 IPC30_11.1, whole genome shotgun sequence"
"RWRS01000005.1 Pseudomonas aeruginosa strain PAC31A IPC162_5.1, whole genome shotgun sequence"
"NSNU01000004.1 Pseudomonas aeruginosa strain AA44 IPC1276_4.1, whole genome shotgun sequence"
"NSYS01000030.1 Pseudomonas aeruginosa strain AUS476 IPC277_30.1, whole genome shotgun sequence"
"RWUH01000008.1 Pseudomonas aeruginosa strain 272S250511BSL_PA1 IPC57_8.1, whole genome shotgun sequence"
"MCLX01000013.1 Pseudomonas aeruginosa 39016 IPC1264_13.1, whole genome shotgun sequence"
"MCMR01000021.1 Pseudomonas aeruginosa strain E42A(B) isolate LMG14084 IPC92_21.1, whole genome shotgun sequence"
"NSMV01000009.1 Pseudomonas aeruginosa strain AL191 IPC1350_9.1, whole genome shotgun sequence"
"NSNG01000007.1 Pseudomonas aeruginosa strain PA-W32 IPC1293_7.1, whole genome shotgun sequence"
"NSOQ01000016.1 Pseudomonas aeruginosa strain U2504 IPC1182_16.1, whole genome shotgun sequence"
"NSOS01000011.1 Pseudomonas aeruginosa strain JJ692 IPC1177_11.1, whole genome shotgun sequence"
"NSPH01000001.1 Pseudomonas aeruginosa strain E9(4068) IPC1152_1.1, whole genome shotgun sequence"
"NSPJ01000009.1 Pseudomonas aeruginosa strain C8(T3532) IPC1145_9.1, whole genome shotgun sequence"
"NSSP01000007.1 Pseudomonas aeruginosa strain Tu863 IPC884_7.1, whole genome shotgun sequence"
"NSSO01000004.1 Pseudomonas aeruginosa strain TuD199 IPC885_4.1, whole genome shotgun sequence"
"NSSW01000011.1 Pseudomonas aeruginosa strain Bo559 IPC867_11.1, whole genome shotgun sequence"
"NSSV01000003.1 Pseudomonas aeruginosa strain Cotonu1 IPC875_3.1, whole genome shotgun sequence"
"NSTO01000021.1 Pseudomonas aeruginosa strain Jp224 IPC752_21.1, whole genome shotgun sequence"
"NSTM01000015.1 Pseudomonas aeruginosa strain Jp1140 IPC757_15.1, whole genome shotgun sequence"
"NSUE01000018.1 Pseudomonas aeruginosa strain IDEXX_Canine8 IPC725_18.1, whole genome shotgun sequence"
"NSUL01000005.1 Pseudomonas aeruginosa strain CND03 IPC706_5.1, whole genome shotgun sequence"
"NSUZ01000026.1 Pseudomonas aeruginosa strain A9 IPC688_26.1, whole genome shotgun sequence"
"NSUV01000001.1 Pseudomonas aeruginosa strain A15 IPC692_1.1, whole genome shotgun sequence"
"NSYO01000014.1 Pseudomonas aeruginosa strain AUS517 IPC288_14.1, whole genome shotgun sequence"
"NSYN01000005.1 Pseudomonas aeruginosa strain AUS321 IPC289_5.1, whole genome shotgun sequence"
"NTAC01000013.1 Pseudomonas aeruginosa strain 1098 IPC98_13.1, whole genome shotgun sequence"
"NTAW01000001.1 Pseudomonas aeruginosa strain PA-W13 IPC8_1.1, whole genome shotgun sequence"
"NSPQ01000020.1 Pseudomonas aeruginosa strain B1(P2356) IPC1107_20.1, whole genome shotgun sequence"
"NSPI01000007.1 Pseudomonas aeruginosa strain C9(P1814) IPC1147_7.1, whole genome shotgun sequence"
"RWZX01000017.1 Pseudomonas aeruginosa strain SC1 IPC1432_17.1, whole genome shotgun sequence"
"RXBK01000006.1 Pseudomonas aeruginosa strain MCF922 IPC1362_6.1, whole genome shotgun sequence"
"RXBT01000030.1 Pseudomonas aeruginosa strain JYH17 IPC1228_30.1, whole genome shotgun sequence"
"RXBV01000002.1 Pseudomonas aeruginosa strain JYH13 IPC1224_2.1, whole genome shotgun sequence"
"RXCX01000013.1 Pseudomonas aeruginosa strain Jp1206 IPC761_13.1, whole genome shotgun sequence"
"RXCV01000001.1 Pseudomonas aeruginosa strain W15Apr4 IPC824_1.1, whole genome shotgun sequence"
"RXDA01000017.1 Pseudomonas aeruginosa strain Jp1155 IPC758_17.1, whole genome shotgun sequence"
"RXCZ01000013.1 Pseudomonas aeruginosa strain Jp1170 IPC759_13.1, whole genome shotgun sequence"
"RXCY01000013.1 Pseudomonas aeruginosa strain Jp1200 IPC760_13.1, whole genome shotgun sequence"
"RXFL01000013.1 Pseudomonas aeruginosa strain Jp222 IPC751_13.1, whole genome shotgun sequence"
"RXDZ01000008.1 Pseudomonas aeruginosa strain AUS511 IPC448_8.1, whole genome shotgun sequence"
"RXEL01000001.1 Pseudomonas aeruginosa strain AUS157 IPC396_1.1, whole genome shotgun sequence"
"RXEM01000008.1 Pseudomonas aeruginosa strain AUS156 IPC395_8.1, whole genome shotgun sequence"
"RXFA01000001.1 Pseudomonas aeruginosa strain AUS277 IPC317_1.1, whole genome shotgun sequence"
"RXFD01000006.1 Pseudomonas aeruginosa strain AUS227 IPC253_6.1, whole genome shotgun sequence"
"RXFI01000002.1 Pseudomonas aeruginosa strain AUS221 IPC245_2.1, whole genome shotgun sequence"
"RWLI01000008.1 Pseudomonas aeruginosa strain 13 IPC1595_8.1, whole genome shotgun sequence"
"RWPB01000004.1 Pseudomonas aeruginosa strain 5988.2 IPC1308_4.1, whole genome shotgun sequence"
"RWQM01000001.1 Pseudomonas aeruginosa strain 78RV IPC589_1.1, whole genome shotgun sequence"
"RWQP01000001.1 Pseudomonas aeruginosa strain 34JS IPC582_1.1, whole genome shotgun sequence"
"RWQO01000001.1 Pseudomonas aeruginosa strain 57SJ IPC584_1.1, whole genome shotgun sequence"
"RWQS01000001.1 Pseudomonas aeruginosa strain 19SV IPC578_1.1, whole genome shotgun sequence"
"RWQQ01000001.1 Pseudomonas aeruginosa strain 32SB IPC580_1.1, whole genome shotgun sequence"
"RWQN01000001.1 Pseudomonas aeruginosa strain 57RV IPC586_1.1, whole genome shotgun sequence"
"RWQR01000001.1 Pseudomonas aeruginosa strain 32SP IPC579_1.1, whole genome shotgun sequence"
"RWQT01000001.1 Pseudomonas aeruginosa strain 19R IPC577_1.1, whole genome shotgun sequence"
"RWQV01000001.1 Pseudomonas aeruginosa strain 18G IPC574_1.1, whole genome shotgun sequence"
"RWQU01000011.1 Pseudomonas aeruginosa strain 19SJV IPC576_11.1, whole genome shotgun sequence"
"RWUO01000004.1 Pseudomonas aeruginosa strain 197S020911BSL_PA3 IPC48_4.1, whole genome shotgun sequence"
"RWVH01000004.1 Pseudomonas aeruginosa strain 29S030611BSL_PA1 IPC27_4.1, whole genome shotgun sequence"
"RWVK01000001.1 Pseudomonas aeruginosa strain 19SJO IPC575_1.1, whole genome shotgun sequence"
"NSQV01000029.1 Pseudomonas aeruginosa strain DUN-018 IPC1031_29.1, whole genome shotgun sequence"
"NSMW01000013.1 Pseudomonas aeruginosa strain PA-W46 IPC1303_13.1, whole genome shotgun sequence"
"NSOL01000012.1 Pseudomonas aeruginosa strain JYH8 IPC1219_12.1, whole genome shotgun sequence"
"NSRE01000002.1 Pseudomonas aeruginosa strain DUN-004 IPC1001_2.1, whole genome shotgun sequence"
"NSSU01000009.1 Pseudomonas aeruginosa strain LMG2107 IPC877_9.1, whole genome shotgun sequence"
"NSZA01000002.1 Pseudomonas aeruginosa strain AUS232 IPC258_2.1, whole genome shotgun sequence"
"RWZY01000004.1 Pseudomonas aeruginosa strain FM4 IPC1429_4.1, whole genome shotgun sequence"
"RXCC01000021.1 Pseudomonas aeruginosa strain P1885 IPC1150_21.1, whole genome shotgun sequence"
"RWPA01000006.1 Pseudomonas aeruginosa strain 5988.3 IPC1309_6.1, whole genome shotgun sequence"
"NSZN01000027.1 Pseudomonas aeruginosa strain AUS186 IPC205_27.1, whole genome shotgun sequence"
"NSTK01000008.1 Pseudomonas aeruginosa strain LiA133_2003 IPC776_8.1, whole genome shotgun sequence"
"NSTR01000029.1 Pseudomonas aeruginosa strain J80UH1OS1 IPC744_29.1, whole genome shotgun sequence"
"RXFE01000005.1 Pseudomonas aeruginosa strain AUS226 IPC252_5.1, whole genome shotgun sequence"
"NSNT01000005.1 Pseudomonas aeruginosa strain PA-W1 IPC1280_5.1, whole genome shotgun sequence"
"NSQX01000008.1 Pseudomonas aeruginosa strain 014-2A IPC1020_8.1, whole genome shotgun sequence"
"NTAD01000021.1 Pseudomonas aeruginosa strain 856 IPC97_21.1, whole genome shotgun sequence"
"RWZR01000005.1 Pseudomonas aeruginosa strain Zw73_1 IPC1439_5.1, whole genome shotgun sequence"
"RWLN01000022.1 Pseudomonas aeruginosa strain 8 IPC1590_22.1, whole genome shotgun sequence"
"NTAR01000026.1 Pseudomonas aeruginosa strain PA-W20 IPC13_26.1, whole genome shotgun sequence"
"RXCM01000009.1 Pseudomonas aeruginosa strain P2404 IPC1110_9.1, whole genome shotgun sequence"
"NSZD01000002.1 Pseudomonas aeruginosa strain AUS217 IPC241_2.1, whole genome shotgun sequence"
"NSST01000001.1 Pseudomonas aeruginosa strain LMG5031 IPC878_1.1, whole genome shotgun sequence"
"NSXA01000004.1 Pseudomonas aeruginosa strain AUS483 IPC434_4.1, whole genome shotgun sequence"
"NSNE01000066.1 Pseudomonas aeruginosa strain PA-W36 IPC1295_66.1, whole genome shotgun sequence"
"NSNE01000002.1 Pseudomonas aeruginosa strain PA-W36 IPC1295_2.1, whole genome shotgun sequence"
"NTAR01000038.1 Pseudomonas aeruginosa strain PA-W20 IPC13_38.1, whole genome shotgun sequence"
"RXCM01000032.1 Pseudomonas aeruginosa strain P2404 IPC1110_32.1, whole genome shotgun sequence"
