"NSSP01000003.1 Pseudomonas aeruginosa strain Tu863 IPC884_3.1, whole genome shotgun sequence"
"NSTX01000010.1 Pseudomonas aeruginosa strain CPHL8203 IPC734_10.1, whole genome shotgun sequence"
"RWRB01000008.1 Pseudomonas aeruginosa strain PAC81A IPC179_8.1, whole genome shotgun sequence"
"RWUU01000005.1 Pseudomonas aeruginosa strain 175S070312EX2DAY21_PA2 IPC42_5.1, whole genome shotgun sequence"
"MVGY01000013.1 Pseudomonas aeruginosa strain ATCC BAA-2111 IPC1579_13.1, whole genome shotgun sequence"
"MCLY01000003.1 Pseudomonas aeruginosa strain 2C22 isolate 57P31PA IPC1274_3.1, whole genome shotgun sequence"
"MCME01000017.1 Pseudomonas aeruginosa strain E429 isolate 15108-1 IPC1268_17.1, whole genome shotgun sequence"
"MCMF01000027.1 Pseudomonas aeruginosa strain D429(Q) isolate Mi162_2 IPC1266_27.1, whole genome shotgun sequence"
"MCMK01000007.1 Pseudomonas aeruginosa strain EC22 isolate AUS52 IPC1258_7.1, whole genome shotgun sequence"
"MCMR01000039.1 Pseudomonas aeruginosa strain E42A(B) isolate LMG14084 IPC92_39.1, whole genome shotgun sequence"
"MCMP01000004.1 Pseudomonas aeruginosa strain 2A42 isolate U018A IPC94_4.1, whole genome shotgun sequence"
"MCMW01000005.1 Pseudomonas aeruginosa strain F69A isolate IST27N IPC85_5.1, whole genome shotgun sequence"
"MCMV01000003.1 Pseudomonas aeruginosa strain 3C52(K) isolate 968333S IPC86_3.1, whole genome shotgun sequence"
"MCMX01000005.1 Pseudomonas aeruginosa strain F69A isolate IST27 IPC84_5.1, whole genome shotgun sequence"
"NSNE01000002.1 Pseudomonas aeruginosa strain PA-W36 IPC1295_2.1, whole genome shotgun sequence"
"NSNI01000007.1 Pseudomonas aeruginosa strain PA-W29 IPC1291_7.1, whole genome shotgun sequence"
"NSNM01000020.1 Pseudomonas aeruginosa strain PA-W21 IPC1287_20.1, whole genome shotgun sequence"
"NSNK01000002.1 Pseudomonas aeruginosa strain PA-W24 IPC1289_2.1, whole genome shotgun sequence"
"NSNO01000006.1 Pseudomonas aeruginosa strain PA-W14 IPC1285_6.1, whole genome shotgun sequence"
"NSNP01000007.1 Pseudomonas aeruginosa strain PA-W10 IPC1284_7.1, whole genome shotgun sequence"
"NSOJ01000004.1 Pseudomonas aeruginosa strain JYH12 IPC1223_4.1, whole genome shotgun sequence"
"NSOL01000003.1 Pseudomonas aeruginosa strain JYH8 IPC1219_3.1, whole genome shotgun sequence"
"NSOU01000003.1 Pseudomonas aeruginosa strain CF27 IPC1173_3.1, whole genome shotgun sequence"
"NSOR01000003.1 Pseudomonas aeruginosa strain S54485 IPC1180_3.1, whole genome shotgun sequence"
"NSOX01000006.1 Pseudomonas aeruginosa strain D9 3362 IPC1164_6.1, whole genome shotgun sequence"
"NSPK01000008.1 Pseudomonas aeruginosa strain E1(T4189) IPC1138_8.1, whole genome shotgun sequence"
"NSQH01000007.1 Pseudomonas aeruginosa strain LiP1d IPC1070_7.1, whole genome shotgun sequence"
"NSQL01000005.1 Pseudomonas aeruginosa strain G2 IPC1057_5.1, whole genome shotgun sequence"
"NSQP01000001.1 Pseudomonas aeruginosa strain C3 IPC1043_1.1, whole genome shotgun sequence"
"NSQQ01000001.1 Pseudomonas aeruginosa strain B2 IPC1040_1.1, whole genome shotgun sequence"
"NSQZ01000002.1 Pseudomonas aeruginosa strain 010-4 IPC1015_2.1, whole genome shotgun sequence"
"NSQY01000001.1 Pseudomonas aeruginosa strain DUN-013 IPC1018_1.1, whole genome shotgun sequence"
"NSRC01000002.1 Pseudomonas aeruginosa strain DUN-007-2 IPC1006_2.1, whole genome shotgun sequence"
"NSRD01000006.1 Pseudomonas aeruginosa strain DUN-006 IPC1005_6.1, whole genome shotgun sequence"
"NSRS01000003.1 Pseudomonas aeruginosa strain U451 IPC976_3.1, whole genome shotgun sequence"
"NSRW01000002.1 Pseudomonas aeruginosa strain U397A IPC954_2.1, whole genome shotgun sequence"
"NSRX01000002.1 Pseudomonas aeruginosa strain U372 IPC948_2.1, whole genome shotgun sequence"
"NSRY01000004.1 Pseudomonas aeruginosa strain U350 IPC946_4.1, whole genome shotgun sequence"
"NSSB01000002.1 Pseudomonas aeruginosa strain U0306 IPC934_2.1, whole genome shotgun sequence"
"NSSD01000009.1 Pseudomonas aeruginosa strain U0284 IPC924_9.1, whole genome shotgun sequence"
"NSSE01000002.1 Pseudomonas aeruginosa strain U0272B IPC922_2.1, whole genome shotgun sequence"
"NSSI01000002.1 Pseudomonas aeruginosa strain S2820 IPC905_2.1, whole genome shotgun sequence"
"NSSK01000003.1 Pseudomonas aeruginosa strain S2239_15 IPC902_3.1, whole genome shotgun sequence"
"NSSN01000005.1 Pseudomonas aeruginosa strain Pae110 IPC886_5.1, whole genome shotgun sequence"
"NSSQ01000019.1 Pseudomonas aeruginosa strain PT31M IPC881_19.1, whole genome shotgun sequence"
"NSSO01000001.1 Pseudomonas aeruginosa strain TuD199 IPC885_1.1, whole genome shotgun sequence"
"NSSS01000012.1 Pseudomonas aeruginosa strain Lw1047 IPC879_12.1, whole genome shotgun sequence"
"NSSU01000008.1 Pseudomonas aeruginosa strain LMG2107 IPC877_8.1, whole genome shotgun sequence"
"NSSW01000001.1 Pseudomonas aeruginosa strain Bo559 IPC867_1.1, whole genome shotgun sequence"
"NSSV01000005.1 Pseudomonas aeruginosa strain Cotonu1 IPC875_5.1, whole genome shotgun sequence"
"NSTC01000018.1 Pseudomonas aeruginosa strain LiA96_2004 IPC797_18.1, whole genome shotgun sequence"
"NSTD01000018.1 Pseudomonas aeruginosa strain LiA91_2004 IPC796_18.1, whole genome shotgun sequence"
"NSTH01000010.1 Pseudomonas aeruginosa strain LiA179_2006 IPC785_10.1, whole genome shotgun sequence"
"NSTL01000023.1 Pseudomonas aeruginosa strain LiA131_2005 IPC775_23.1, whole genome shotgun sequence"
"NSTP01000003.1 Pseudomonas aeruginosa strain Jp97 IPC749_3.1, whole genome shotgun sequence"
"NSUF01000007.1 Pseudomonas aeruginosa strain IDEXX_Canine4 IPC723_7.1, whole genome shotgun sequence"
"NSUI01000003.1 Pseudomonas aeruginosa strain C3128 IPC715_3.1, whole genome shotgun sequence"
"NSUQ01000005.1 Pseudomonas aeruginosa strain Mex2 IPC698_5.1, whole genome shotgun sequence"
"NSUR01000010.1 Pseudomonas aeruginosa strain A237 IPC696_10.1, whole genome shotgun sequence"
"NSVK01000024.1 Pseudomonas aeruginosa strain AMT0071-76 IPC573_24.1, whole genome shotgun sequence"
"NSVM01000001.1 Pseudomonas aeruginosa strain AMT0046-1 IPC560_1.1, whole genome shotgun sequence"
"NSVP01000003.1 Pseudomonas aeruginosa strain AMT0020-1 IPC550_3.1, whole genome shotgun sequence"
"NSVO01000005.1 Pseudomonas aeruginosa strain AMT0026-3 IPC555_5.1, whole genome shotgun sequence"
"NSVQ01000021.1 Pseudomonas aeruginosa strain AMT0020-84 IPC549_21.1, whole genome shotgun sequence"
"NSVR01000001.1 Pseudomonas aeruginosa strain AMT0006-66 IPC547_1.1, whole genome shotgun sequence"
"NSVU01000001.1 Pseudomonas aeruginosa strain AMT0005-1 IPC539_1.1, whole genome shotgun sequence"
"NSVX01000009.1 Pseudomonas aeruginosa strain AUS149 IPC509_9.1, whole genome shotgun sequence"
"NSWA01000003.1 Pseudomonas aeruginosa strain AUS305 IPC506_3.1, whole genome shotgun sequence"
"NSVY01000003.1 Pseudomonas aeruginosa strain AUS309 IPC508_3.1, whole genome shotgun sequence"
"NSVZ01000004.1 Pseudomonas aeruginosa strain AUS307 IPC507_4.1, whole genome shotgun sequence"
"NSWE01000003.1 Pseudomonas aeruginosa strain AUS422 IPC491_3.1, whole genome shotgun sequence"
"NSWX01000007.1 Pseudomonas aeruginosa strain AUS491 IPC440_7.1, whole genome shotgun sequence"
"NSXD01000001.1 Pseudomonas aeruginosa strain AUS165 IPC404_1.1, whole genome shotgun sequence"
"NSXH01000002.1 Pseudomonas aeruginosa strain AUS506 IPC389_2.1, whole genome shotgun sequence"
"NSXJ01000015.1 Pseudomonas aeruginosa strain AUS138 IPC379_15.1, whole genome shotgun sequence"
"NSXL01000002.1 Pseudomonas aeruginosa strain AUS124 IPC368_2.1, whole genome shotgun sequence"
"NSXV01000009.1 Pseudomonas aeruginosa strain AUS073 IPC346_9.1, whole genome shotgun sequence"
"NSXT01000001.1 Pseudomonas aeruginosa strain AUS089 IPC349_1.1, whole genome shotgun sequence"
"NSYC01000001.1 Pseudomonas aeruginosa strain AUS283 IPC323_1.1, whole genome shotgun sequence"
"NSYG01000002.1 Pseudomonas aeruginosa strain AUS336 IPC308_2.1, whole genome shotgun sequence"
"NSYL01000004.1 Pseudomonas aeruginosa strain AUS306 IPC294_4.1, whole genome shotgun sequence"
"NSYK01000010.1 Pseudomonas aeruginosa strain AUS328 IPC295_10.1, whole genome shotgun sequence"
"NSYP01000013.1 Pseudomonas aeruginosa strain AUS471 IPC282_13.1, whole genome shotgun sequence"
"NSYO01000001.1 Pseudomonas aeruginosa strain AUS517 IPC288_1.1, whole genome shotgun sequence"
"NSYR01000001.1 Pseudomonas aeruginosa strain AUS301 IPC279_1.1, whole genome shotgun sequence"
"NSYY01000002.1 Pseudomonas aeruginosa strain AUS423 IPC264_2.1, whole genome shotgun sequence"
"NSZJ01000002.1 Pseudomonas aeruginosa strain AUS207 IPC226_2.1, whole genome shotgun sequence"
"NTAG01000001.1 Pseudomonas aeruginosa strain PA-W49 IPC25_1.1, whole genome shotgun sequence"
"NTAE01000003.1 Pseudomonas aeruginosa strain 903 IPC96_3.1, whole genome shotgun sequence"
"NTAC01000011.1 Pseudomonas aeruginosa strain 1098 IPC98_11.1, whole genome shotgun sequence"
"NTAI01000003.1 Pseudomonas aeruginosa strain PA-W47 IPC23_3.1, whole genome shotgun sequence"
"NTAM01000004.1 Pseudomonas aeruginosa strain PA-W30 IPC18_4.1, whole genome shotgun sequence"
"NTAQ01000001.1 Pseudomonas aeruginosa strain PA-W22 IPC14_1.1, whole genome shotgun sequence"
"NTAS01000003.1 Pseudomonas aeruginosa strain PA-W19 IPC12_3.1, whole genome shotgun sequence"
"NTBB01000005.1 Pseudomonas aeruginosa strain PA-W7 IPC3_5.1, whole genome shotgun sequence"
"NSSG01000010.1 Pseudomonas aeruginosa strain S1983 IPC908_10.1, whole genome shotgun sequence"
"NSSC01000003.1 Pseudomonas aeruginosa strain U0288B IPC927_3.1, whole genome shotgun sequence"
"RXAI01000002.1 Pseudomonas aeruginosa strain HCF331 IPC1413_2.1, whole genome shotgun sequence"
"RXAJ01000003.1 Pseudomonas aeruginosa strain HCF238 IPC1412_3.1, whole genome shotgun sequence"
"RXAK01000003.1 Pseudomonas aeruginosa strain HCF100 IPC1409_3.1, whole genome shotgun sequence"
"RXAY01000003.1 Pseudomonas aeruginosa strain Zw92 IPC1380_3.1, whole genome shotgun sequence"
"RXAV01000002.1 Pseudomonas aeruginosa strain Zw64 IPC1384_2.1, whole genome shotgun sequence"
"RXAT01000016.1 Pseudomonas aeruginosa strain PT12 IPC1387_16.1, whole genome shotgun sequence"
"RXAZ01000001.1 Pseudomonas aeruginosa strain PD1 IPC1377_1.1, whole genome shotgun sequence"
"RXBB01000002.1 Pseudomonas aeruginosa strain H2 IPC1375_2.1, whole genome shotgun sequence"
"RXBK01000001.1 Pseudomonas aeruginosa strain MCF922 IPC1362_1.1, whole genome shotgun sequence"
"RXBR01000003.1 Pseudomonas aeruginosa strain JYH21 IPC1232_3.1, whole genome shotgun sequence"
"RXBU01000004.1 Pseudomonas aeruginosa strain JYH15 IPC1226_4.1, whole genome shotgun sequence"
"RXBP01000002.1 Pseudomonas aeruginosa strain JYH25 IPC1236_2.1, whole genome shotgun sequence"
"RXCL01000008.1 Pseudomonas aeruginosa strain 2810 IPC1111_8.1, whole genome shotgun sequence"
"RXCQ01000005.1 Pseudomonas aeruginosa strain W5Aug28 IPC831_5.1, whole genome shotgun sequence"
"RXCO01000006.1 Pseudomonas aeruginosa strain T3979 IPC1106_6.1, whole genome shotgun sequence"
"RXCV01000001.1 Pseudomonas aeruginosa strain W15Apr4 IPC824_1.1, whole genome shotgun sequence"
"RXCW01000007.1 Pseudomonas aeruginosa strain Jp1303 IPC762_7.1, whole genome shotgun sequence"
"RXDD01000003.1 Pseudomonas aeruginosa strain Jp100 IPC750_3.1, whole genome shotgun sequence"
"RXFL01000006.1 Pseudomonas aeruginosa strain Jp222 IPC751_6.1, whole genome shotgun sequence"
"RXDJ01000006.1 Pseudomonas aeruginosa strain AMT0026-2 IPC554_6.1, whole genome shotgun sequence"
"RXDM01000001.1 Pseudomonas aeruginosa strain AMT0006-65 IPC546_1.1, whole genome shotgun sequence"
"RXDK01000006.1 Pseudomonas aeruginosa strain AMT0026-1 IPC553_6.1, whole genome shotgun sequence"
"RXDN01000001.1 Pseudomonas aeruginosa strain AMT0006-64 IPC545_1.1, whole genome shotgun sequence"
"RXDL01000023.1 Pseudomonas aeruginosa strain AMT0020-83 IPC548_23.1, whole genome shotgun sequence"
"RXEC01000004.1 Pseudomonas aeruginosa strain AUS501 IPC444_4.1, whole genome shotgun sequence"
"RXEN01000012.1 Pseudomonas aeruginosa strain AUS155 IPC394_12.1, whole genome shotgun sequence"
"RXEH01000001.1 Pseudomonas aeruginosa strain AUS176 IPC413_1.1, whole genome shotgun sequence"
"RXEI01000003.1 Pseudomonas aeruginosa strain AUS175 IPC412_3.1, whole genome shotgun sequence"
"RXEO01000009.1 Pseudomonas aeruginosa strain AUS153 IPC392_9.1, whole genome shotgun sequence"
"RXEP01000001.1 Pseudomonas aeruginosa strain AUS141 IPC382_1.1, whole genome shotgun sequence"
"RXEW01000003.1 Pseudomonas aeruginosa strain AUS110 IPC357_3.1, whole genome shotgun sequence"
"RXFG01000002.1 Pseudomonas aeruginosa strain AUS222 IPC247_2.1, whole genome shotgun sequence"
"RXEY01000002.1 Pseudomonas aeruginosa strain AUS265 IPC325_2.1, whole genome shotgun sequence"
"RWLA01000009.1 Pseudomonas aeruginosa strain 20 IPC1603_9.1, whole genome shotgun sequence"
"RWLI01000007.1 Pseudomonas aeruginosa strain 13 IPC1595_7.1, whole genome shotgun sequence"
"RWLL01000011.1 Pseudomonas aeruginosa strain 10 IPC1592_11.1, whole genome shotgun sequence"
"RWLQ01000005.1 Pseudomonas aeruginosa strain 5 IPC1587_5.1, whole genome shotgun sequence"
"RWLO01000004.1 Pseudomonas aeruginosa strain 7 IPC1589_4.1, whole genome shotgun sequence"
"RWMB01000003.1 Pseudomonas aeruginosa strain 3020837212 IPC1517_3.1, whole genome shotgun sequence"
"RWMO01000005.1 Pseudomonas aeruginosa strain 2042723558 IPC1504_5.1, whole genome shotgun sequence"
"RWMP01000005.1 Pseudomonas aeruginosa strain 1042828174-21 IPC1503_5.1, whole genome shotgun sequence"
"RWMR01000003.1 Pseudomonas aeruginosa strain 4124363474-14 IPC1501_3.1, whole genome shotgun sequence"
"RWMS01000004.1 Pseudomonas aeruginosa strain 4124363474-15 IPC1500_4.1, whole genome shotgun sequence"
"RWMX01000002.1 Pseudomonas aeruginosa strain 4064321111 IPC1494_2.1, whole genome shotgun sequence"
"RWNS01000012.1 Pseudomonas aeruginosa strain 6096 IPC1343_12.1, whole genome shotgun sequence"
"RWNT01000010.1 Pseudomonas aeruginosa strain 6095 IPC1342_10.1, whole genome shotgun sequence"
"RWOC01000010.1 Pseudomonas aeruginosa strain 6086.2 IPC1333_10.1, whole genome shotgun sequence"
"RWOA01000003.1 Pseudomonas aeruginosa strain 6088 IPC1335_3.1, whole genome shotgun sequence"
"RWOG01000002.1 Pseudomonas aeruginosa strain 6003 IPC1329_2.1, whole genome shotgun sequence"
"RWOP01000030.1 Pseudomonas aeruginosa strain 5997 IPC1320_30.1, whole genome shotgun sequence"
"RWOO01000002.1 Pseudomonas aeruginosa strain 5998 IPC1321_2.1, whole genome shotgun sequence"
"RWOU01000002.1 Pseudomonas aeruginosa strain 5992 IPC1315_2.1, whole genome shotgun sequence"
"RWOS01000003.1 Pseudomonas aeruginosa strain 5994 IPC1317_3.1, whole genome shotgun sequence"
"RWOV01000002.1 Pseudomonas aeruginosa strain 5991 IPC1314_2.1, whole genome shotgun sequence"
"RWOZ01000001.1 Pseudomonas aeruginosa strain 5989 IPC1310_1.1, whole genome shotgun sequence"
"RWPD01000003.1 Pseudomonas aeruginosa strain 5985 IPC1306_3.1, whole genome shotgun sequence"
"RWQA01000008.1 Pseudomonas aeruginosa strain PA-CL513 IPC607_8.1, whole genome shotgun sequence"
"RWRC01000004.1 Pseudomonas aeruginosa strain PAC112A IPC178_4.1, whole genome shotgun sequence"
"RWRF01000014.1 Pseudomonas aeruginosa strain PAC127B IPC175_14.1, whole genome shotgun sequence"
"RWRE01000002.1 Pseudomonas aeruginosa strain PAC60A IPC176_2.1, whole genome shotgun sequence"
"RWRH01000002.1 Pseudomonas aeruginosa strain PAC38B IPC173_2.1, whole genome shotgun sequence"
"RWRG01000003.1 Pseudomonas aeruginosa strain PAC127A IPC174_3.1, whole genome shotgun sequence"
"RWRI01000003.1 Pseudomonas aeruginosa strain PAC38A IPC172_3.1, whole genome shotgun sequence"
"RWRU01000003.1 Pseudomonas aeruginosa strain PAC115A IPC159_3.1, whole genome shotgun sequence"
"RWRV01000003.1 Pseudomonas aeruginosa strain PAC108A IPC158_3.1, whole genome shotgun sequence"
"RWRW01000003.1 Pseudomonas aeruginosa strain PAC44D IPC157_3.1, whole genome shotgun sequence"
"RWSA01000004.1 Pseudomonas aeruginosa strain PAC23A IPC153_4.1, whole genome shotgun sequence"
"RWRX01000002.1 Pseudomonas aeruginosa strain PAC44C IPC156_2.1, whole genome shotgun sequence"
"RWSC01000002.1 Pseudomonas aeruginosa strain PAC84A IPC151_2.1, whole genome shotgun sequence"
"RWSB01000016.1 Pseudomonas aeruginosa strain PAC94A IPC152_16.1, whole genome shotgun sequence"
"RWSD01000002.1 Pseudomonas aeruginosa strain PAC22A IPC150_2.1, whole genome shotgun sequence"
"RWSQ01000003.1 Pseudomonas aeruginosa strain PAC117B IPC135_3.1, whole genome shotgun sequence"
"RWSS01000003.1 Pseudomonas aeruginosa strain PAC13C IPC133_3.1, whole genome shotgun sequence"
"RWSZ01000005.1 Pseudomonas aeruginosa strain PAC107A IPC126_5.1, whole genome shotgun sequence"
"RWTB01000005.1 Pseudomonas aeruginosa strain PAC10A IPC124_5.1, whole genome shotgun sequence"
"RWTA01000003.1 Pseudomonas aeruginosa strain PAC10B IPC125_3.1, whole genome shotgun sequence"
"RWTP01000004.1 Pseudomonas aeruginosa strain 333S200112BSL_PA1 IPC78_4.1, whole genome shotgun sequence"
"RWTR01000001.1 Pseudomonas aeruginosa strain 326S290611BSL_PA2 IPC76_1.1, whole genome shotgun sequence"
"RWTQ01000008.1 Pseudomonas aeruginosa strain 326S290611BSL_PA3 IPC77_8.1, whole genome shotgun sequence"
"RWTS01000001.1 Pseudomonas aeruginosa strain 326S290611BSL_PA1 IPC75_1.1, whole genome shotgun sequence"
"RWTV01000001.1 Pseudomonas aeruginosa strain 318S170811BSL_PA2 IPC72_1.1, whole genome shotgun sequence"
"RWTY01000018.1 Pseudomonas aeruginosa strain 298S020611BSL_PA1 IPC68_18.1, whole genome shotgun sequence"
"RWTW01000004.1 Pseudomonas aeruginosa strain 318S170811BSL_PA1 IPC71_4.1, whole genome shotgun sequence"
"RWTZ01000002.1 Pseudomonas aeruginosa strain 295s071211BSL_PA2 IPC67_2.1, whole genome shotgun sequence"
"RWUC01000001.1 Pseudomonas aeruginosa strain 293S080611BSL_PA1 IPC64_1.1, whole genome shotgun sequence"
"RWUB01000005.1 Pseudomonas aeruginosa strain 293S080611BSL_PA2 IPC65_5.1, whole genome shotgun sequence"
"RWUA01000005.1 Pseudomonas aeruginosa strain 295s071211BSL_PA1 IPC66_5.1, whole genome shotgun sequence"
"RWUH01000006.1 Pseudomonas aeruginosa strain 272S250511BSL_PA1 IPC57_6.1, whole genome shotgun sequence"
"RWUE01000002.1 Pseudomonas aeruginosa strain 278S180511BSL_PA2 IPC60_2.1, whole genome shotgun sequence"
"RWUJ01000005.1 Pseudomonas aeruginosa strain 259S240811BSL_PA2 IPC55_5.1, whole genome shotgun sequence"
"RWUF01000003.1 Pseudomonas aeruginosa strain 278S180511BSL_PA1 IPC59_3.1, whole genome shotgun sequence"
"RWUK01000005.1 Pseudomonas aeruginosa strain 259S240811BSL_PA1 IPC54_5.1, whole genome shotgun sequence"
"RWVC01000001.1 Pseudomonas aeruginosa strain 128S180412BSL_PA2 IPC33_1.1, whole genome shotgun sequence"
"RWVH01000009.1 Pseudomonas aeruginosa strain 29S030611BSL_PA1 IPC27_9.1, whole genome shotgun sequence"
"RWRY01000004.1 Pseudomonas aeruginosa strain PAC44B IPC155_4.1, whole genome shotgun sequence"
"RWRZ01000003.1 Pseudomonas aeruginosa strain PAC44A IPC154_3.1, whole genome shotgun sequence"
"NTAL01000011.1 Pseudomonas aeruginosa strain PA-W34 IPC19_11.1, whole genome shotgun sequence"
"RXFH01000009.1 Pseudomonas aeruginosa strain AUS525 IPC246_9.1, whole genome shotgun sequence"
"RWUG01000006.1 Pseudomonas aeruginosa strain 274S010611BSL_PA1 IPC58_6.1, whole genome shotgun sequence"
"RWVI01000004.1 Pseudomonas aeruginosa strain 2S030611BSL_PA1 IPC26_4.1, whole genome shotgun sequence"
"MCMO01000005.1 Pseudomonas aeruginosa strain F462 isolate CPHL9433 IPC95_5.1, whole genome shotgun sequence"
"NSTT01000009.1 Pseudomonas aeruginosa strain Tu61 IPC740_9.1, whole genome shotgun sequence"
"NSTV01000004.1 Pseudomonas aeruginosa strain CPHL10662 IPC737_4.1, whole genome shotgun sequence"
"NSWZ01000001.1 Pseudomonas aeruginosa strain AUS485 IPC436_1.1, whole genome shotgun sequence"
"NSZL01000010.1 Pseudomonas aeruginosa strain AUS195 IPC215_10.1, whole genome shotgun sequence"
"NSZN01000002.1 Pseudomonas aeruginosa strain AUS186 IPC205_2.1, whole genome shotgun sequence"
"NTAW01000001.1 Pseudomonas aeruginosa strain PA-W13 IPC8_1.1, whole genome shotgun sequence"
"RWZY01000002.1 Pseudomonas aeruginosa strain FM4 IPC1429_2.1, whole genome shotgun sequence"
"RXBW01000006.1 Pseudomonas aeruginosa strain JYH11 IPC1222_6.1, whole genome shotgun sequence"
"RXDW01000006.1 Pseudomonas aeruginosa strain AUS449 IPC451_6.1, whole genome shotgun sequence"
"RXDY01000010.1 Pseudomonas aeruginosa strain AUS512 IPC449_10.1, whole genome shotgun sequence"
"RXDZ01000020.1 Pseudomonas aeruginosa strain AUS511 IPC448_20.1, whole genome shotgun sequence"
"RXET01000001.1 Pseudomonas aeruginosa strain AUS128 IPC371_1.1, whole genome shotgun sequence"
"RXFD01000007.1 Pseudomonas aeruginosa strain AUS227 IPC253_7.1, whole genome shotgun sequence"
"RXFI01000002.1 Pseudomonas aeruginosa strain AUS221 IPC245_2.1, whole genome shotgun sequence"
"RWSN01000017.1 Pseudomonas aeruginosa strain PAC15B IPC140_17.1, whole genome shotgun sequence"
"RWSO01000017.1 Pseudomonas aeruginosa strain PAC15A IPC139_17.1, whole genome shotgun sequence"
"RWUO01000005.1 Pseudomonas aeruginosa strain 197S020911BSL_PA3 IPC48_5.1, whole genome shotgun sequence"
"NSST01000001.1 Pseudomonas aeruginosa strain LMG5031 IPC878_1.1, whole genome shotgun sequence"
"NSXA01000004.1 Pseudomonas aeruginosa strain AUS483 IPC434_4.1, whole genome shotgun sequence"
"NSZD01000002.1 Pseudomonas aeruginosa strain AUS217 IPC241_2.1, whole genome shotgun sequence"
